,team,opponent,PIM,penalties,date
0,VAN,TOR,96,18,2016-11-05
1,TOR,VAN,75,14,2016-11-05
2,DAL,WPG,52,12,2016-11-08
3,ANA,LAK,48,10,2016-11-01
4,LAK,ANA,44,11,2016-11-01
5,WPG,DAL,42,11,2016-11-08
6,DET,TBL,38,12,2016-10-13
7,PHI,ARI,34,9,2016-10-15
8,STL,COL,34,9,2016-11-06
9,TBL,NYI,32,9,2016-11-01
10,ARI,PHI,31,10,2016-10-27
11,NYI,TBL,29,10,2016-11-01
12,DAL,LAK,29,9,2016-10-20
13,COL,WSH,27,8,2016-10-18
14,BOS,FLA,26,10,2016-11-01
15,DAL,STL,24,9,2016-11-03
16,STL,DAL,24,9,2016-11-03
17,CHI,NSH,24,9,2016-10-14
18,OTT,DET,22,8,2016-10-17
19,NYI,MIN,22,7,2016-10-23
20,VAN,OTT,22,8,2016-11-03
21,MTL,BUF,22,7,2016-10-13
22,CGY,ANA,22,8,2016-11-06
23,BUF,BOS,21,8,2016-11-07
24,NSH,DET,21,9,2016-10-21
25,SJS,ANA,21,5,2016-10-25
26,COL,STL,20,7,2016-11-06
27,MIN,STL,20,6,2016-10-13
28,SJS,PIT,20,6,2016-10-20
29,FLA,BOS,20,6,2016-11-01
30,ANA,CGY,20,7,2016-11-06
31,TBL,DET,20,7,2016-10-13
32,OTT,VAN,20,7,2016-11-03
33,DET,OTT,20,7,2016-10-17
34,NSH,CHI,20,7,2016-10-14
35,CGY,EDM,19,8,2016-10-12
36,ANA,NJD,19,8,2016-10-18
37,TOR,BOS,18,6,2016-10-15
38,BOS,TOR,18,6,2016-10-15
39,LAK,VAN,17,7,2016-10-22
40,PIT,SJS,17,7,2016-11-05
41,COL,FLA,17,7,2016-10-22
42,STL,CHI,17,7,2016-11-09
43,ANA,CBJ,17,7,2016-10-28
44,MTL,PIT,16,7,2016-10-18
45,MTL,BOS,16,7,2016-10-22
46,CGY,CAR,16,8,2016-10-20
47,BUF,WPG,16,8,2016-10-30
48,ANA,PHI,16,8,2016-10-20
49,NJD,FLA,16,8,2016-10-13
0,EDM,BUF,16,8,2016-10-16
1,MIN,NYI,16,4,2016-10-23
2,DAL,CHI,16,8,2016-11-05
3,SJS,DET,16,7,2016-10-22
4,BOS,MIN,15,6,2016-10-25
5,OTT,CAR,15,6,2016-11-01
6,ANA,SJS,15,6,2016-10-25
7,WPG,MIN,15,6,2016-10-15
8,DET,NSH,15,6,2016-10-21
9,COL,NSH,15,6,2016-11-01
10,CBJ,STL,15,6,2016-11-05
11,OTT,TOR,15,6,2016-10-12
12,CBJ,ANA,15,6,2016-10-28
13,CBJ,DAL,15,6,2016-10-22
14,LAK,DAL,15,6,2016-10-20
15,BUF,CGY,14,7,2016-10-18
16,STL,MIN,14,7,2016-10-13
17,OTT,ARI,14,7,2016-10-18
18,FLA,NJD,14,7,2016-10-13
19,CGY,SJS,14,7,2016-11-03
20,WPG,DAL,14,7,2016-10-25
21,BOS,NYR,14,7,2016-10-26
22,LAK,CHI,14,6,2016-10-30
23,PIT,MTL,14,7,2016-10-18
24,STL,NYR,14,7,2016-11-01
25,BOS,MTL,14,7,2016-10-22
26,PIT,COL,14,7,2016-10-17
27,EDM,CGY,14,7,2016-10-14
28,ARI,NSH,14,7,2016-11-03
29,DAL,WPG,14,7,2016-10-27
30,MIN,BOS,13,5,2016-10-25
31,EDM,CGY,13,5,2016-10-12
32,OTT,EDM,13,5,2016-10-30
33,CAR,OTT,13,5,2016-11-01
34,PIT,ANA,13,5,2016-11-02
35,CBJ,DAL,13,5,2016-11-01
36,NJD,ANA,13,5,2016-10-18
37,NJD,TBL,13,5,2016-10-29
38,ANA,PIT,13,5,2016-11-02
39,COL,ARI,13,5,2016-11-08
40,LAK,NSH,13,5,2016-10-27
41,STL,CBJ,13,5,2016-11-05
42,OTT,NSH,13,5,2016-11-08
43,CHI,STL,13,5,2016-11-09
44,WSH,COL,13,5,2016-10-18
45,NSH,COL,13,5,2016-11-01
46,NSH,LAK,13,5,2016-10-27
47,MIN,WPG,13,5,2016-10-15
48,PHI,CAR,12,6,2016-10-22
49,NYI,TOR,12,6,2016-10-30
0,WPG,DAL,12,6,2016-10-27
1,MTL,CBJ,12,5,2016-11-04
2,CAR,CGY,12,5,2016-10-20
3,NYI,PHI,12,6,2016-11-03
4,CHI,DAL,12,6,2016-11-05
5,BOS,DET,12,6,2016-10-29
6,WPG,WSH,12,6,2016-11-03
7,CGY,STL,12,6,2016-10-25
8,COL,PIT,12,6,2016-10-17
9,DET,SJS,12,6,2016-10-22
10,CGY,BUF,12,6,2016-10-18
11,CGY,EDM,12,6,2016-10-14
12,MTL,TOR,12,6,2016-10-29
13,PIT,NYI,12,6,2016-10-27
14,TOR,CHI,12,6,2016-10-22
15,CAR,WPG,12,5,2016-10-13
16,DET,BOS,12,6,2016-10-29
17,TOR,OTT,11,4,2016-10-12
18,NSH,OTT,11,4,2016-11-08
19,TBL,MTL,11,4,2016-10-27
20,FLA,COL,11,4,2016-10-22
21,PHI,ARI,11,4,2016-10-27
22,BOS,BUF,11,4,2016-11-07
23,COL,TBL,11,4,2016-10-20
24,PHI,DET,11,4,2016-11-08
25,ARI,ANA,11,4,2016-11-04
26,VAN,LAK,11,4,2016-10-22
27,PIT,WSH,11,4,2016-10-13
28,MTL,TBL,11,4,2016-10-27
29,NYR,SJS,10,5,2016-10-17
30,CAR,PHI,10,5,2016-10-22
31,WPG,CAR,10,5,2016-10-13
32,DAL,WPG,10,5,2016-10-25
33,MTL,OTT,10,5,2016-10-15
34,FLA,DET,10,5,2016-10-30
35,MTL,VAN,10,5,2016-11-02
36,ARI,MTL,10,5,2016-10-20
37,BOS,WPG,10,5,2016-10-17
38,NJD,TBL,10,5,2016-11-05
39,CHI,CGY,10,4,2016-10-24
40,ANA,NYI,10,5,2016-10-16
41,TOR,NYI,10,5,2016-10-30
42,STL,DET,10,5,2016-10-27
43,ANA,NSH,10,5,2016-10-26
44,MIN,COL,10,5,2016-11-05
45,CGY,STL,10,5,2016-10-22
46,OTT,MTL,10,5,2016-10-15
47,CGY,VAN,10,5,2016-10-15
48,WSH,EDM,10,5,2016-10-26
49,CBJ,SJS,10,4,2016-10-15
0,NYI,ANA,10,5,2016-10-16
1,NJD,CHI,10,4,2016-10-28
2,NYR,STL,10,5,2016-10-15
3,MTL,PHI,10,4,2016-11-05
4,DAL,ANA,10,5,2016-10-13
5,VAN,NYR,10,5,2016-11-08
6,STL,CGY,10,5,2016-10-25
7,VAN,BUF,10,5,2016-10-20
8,CGY,CHI,10,5,2016-11-01
9,FLA,NJD,10,5,2016-11-03
10,TBL,NJD,10,5,2016-11-05
11,NYI,ARI,10,5,2016-10-21
12,NYI,WSH,10,5,2016-10-15
13,NYI,PIT,10,5,2016-10-27
14,TOR,MTL,10,5,2016-10-29
15,STL,LAK,10,5,2016-10-29
16,NYI,NYR,10,5,2016-10-13
17,MIN,LAK,10,5,2016-10-18
18,CHI,STL,10,5,2016-10-12
19,CHI,CGY,10,5,2016-11-01
20,TBL,NJD,10,5,2016-10-15
21,TBL,NYR,10,5,2016-10-30
22,BUF,VAN,10,5,2016-10-20
23,DAL,CBJ,9,3,2016-10-22
24,EDM,OTT,9,3,2016-10-30
25,DAL,CBJ,9,3,2016-11-01
26,DET,PHI,9,3,2016-11-02
27,SJS,ARI,9,3,2016-11-01
28,ARI,SJS,9,3,2016-11-01
29,WSH,PIT,9,3,2016-10-13
30,SJS,PIT,9,3,2016-11-05
31,PHI,DET,9,3,2016-11-02
32,ANA,ARI,9,3,2016-11-04
33,DET,PHI,9,3,2016-11-08
34,TBL,COL,9,3,2016-10-20
35,NJD,BOS,8,4,2016-10-20
36,DET,FLA,8,3,2016-10-30
37,WSH,WPG,8,4,2016-11-01
38,LAK,MIN,8,4,2016-10-18
39,PIT,FLA,8,4,2016-10-25
40,PHI,MTL,8,4,2016-10-24
41,WPG,COL,8,4,2016-10-28
42,FLA,WSH,8,4,2016-11-05
43,NSH,ANA,8,4,2016-10-26
44,CHI,PHI,8,4,2016-10-18
45,PHI,NYI,8,4,2016-11-03
46,DAL,NSH,8,4,2016-10-18
47,CHI,DAL,8,4,2016-11-06
48,EDM,WSH,8,4,2016-10-26
49,COL,ARI,8,4,2016-10-29
0,TBL,FLA,8,4,2016-11-07
1,BUF,OTT,8,3,2016-11-05
2,BOS,CBJ,8,4,2016-10-13
3,NJD,FLA,8,4,2016-11-03
4,BUF,PHI,8,4,2016-10-25
5,ARI,PHI,8,4,2016-10-15
6,NYR,EDM,8,3,2016-11-03
7,FLA,BUF,8,4,2016-10-29
8,ARI,OTT,8,4,2016-10-18
9,COL,MIN,8,4,2016-11-05
10,WPG,BOS,8,4,2016-10-17
11,SJS,CGY,8,4,2016-11-03
12,NYI,EDM,8,4,2016-11-05
