,team,opponent,PIM,penalties,date
0,WPG,NSH,84,18,2015-11-14
1,NSH,WPG,72,17,2015-11-14
2,OTT,BOS,58,14,2015-12-29
3,BOS,OTT,52,11,2015-12-29
4,BUF,MTL,52,14,2016-03-16
5,NJD,VAN,49,12,2015-11-08
6,MTL,BUF,48,12,2016-03-16
7,ANA,LAK,44,11,2016-03-05
8,ARI,ANA,44,15,2016-03-03
9,WSH,PIT,41,11,2016-03-20
10,ARI,BUF,40,8,2016-01-18
11,ARI,CBJ,38,11,2015-11-14
12,ANA,ARI,38,12,2016-03-03
13,CGY,ARI,38,7,2016-03-28
14,FLA,BUF,37,10,2016-02-09
15,BUF,ARI,37,8,2016-01-18
16,SJS,VAN,36,9,2016-03-05
17,LAK,ANA,36,7,2016-03-05
18,WPG,COL,36,11,2016-02-06
19,OTT,PHI,35,9,2015-11-21
20,WPG,SJS,35,9,2016-01-12
21,VAN,NJD,34,10,2015-11-08
22,EDM,NYI,34,10,2016-02-07
23,EDM,SJS,33,7,2016-03-24
24,ARI,PHI,33,7,2016-03-26
25,PHI,OTT,33,8,2015-11-21
26,CBJ,TBL,32,9,2015-12-26
27,COL,WPG,32,9,2016-02-06
28,EDM,ARI,32,8,2016-03-12
29,LAK,COL,32,9,2015-10-18
30,COL,SJS,32,8,2016-01-26
31,CBJ,TBL,32,8,2016-03-13
32,CBJ,OTT,32,9,2015-11-19
33,STL,MTL,32,12,2016-01-16
34,PHI,CBJ,31,9,2015-12-19
35,PHI,SJS,31,10,2015-12-30
36,BUF,FLA,31,7,2016-02-09
37,VAN,BOS,31,6,2015-12-05
38,ANA,TOR,31,10,2016-01-06
39,FLA,EDM,31,6,2016-01-10
40,PHI,BUF,31,10,2015-10-30
41,NJD,STL,30,8,2016-01-12
42,BUF,PHI,30,8,2015-10-30
43,NSH,MIN,30,8,2015-11-21
44,EDM,PHI,30,10,2016-03-03
45,OTT,DET,30,7,2015-10-31
46,CBJ,SJS,30,8,2015-11-22
47,CBJ,ARI,30,11,2015-11-14
48,TBL,TOR,30,11,2016-03-28
49,VAN,TBL,29,13,2015-12-22
0,BOS,MIN,29,9,2015-11-19
1,BUF,OTT,29,9,2016-03-18
2,PHI,NYR,29,5,2016-02-06
3,ARI,BOS,28,6,2015-10-27
