,team,opponent,hits,blocked_shots,giveaways,takeaways,save%,date
0,LAK,MTL,58,13,13,5,4.2,2016-11-10
1,TOR,MTL,45,19,11,5,2.6,2016-10-29
2,ARI,MTL,43,17,11,5,6.9,2016-10-20
3,NYI,TBL,42,20,5,4,3.1,2016-11-10
4,COL,PIT,42,13,3,8,12.9,2016-10-17
5,LAK,SJS,41,22,14,7,4.5,2016-10-12
6,NYI,PIT,41,19,3,5,5.4,2016-10-27
7,PHI,MTL,39,13,12,4,3.1,2016-10-24
8,TOR,LAK,39,18,14,10,0.0,2016-11-08
9,LAK,TOR,39,10,12,6,16.3,2016-11-08
10,LAK,PIT,38,10,11,1,11.1,2016-11-03
11,ANA,VAN,37,9,8,5,10.8,2016-10-23
12,ANA,LAK,37,12,10,1,19.0,2016-11-01
13,LAK,CHI,37,16,4,4,0.0,2016-10-30
14,ANA,SJS,36,23,19,10,5.0,2016-10-25
15,NSH,SJS,36,14,19,5,3.6,2016-10-29
16,CGY,CHI,35,13,8,7,2.9,2016-11-01
17,ARI,WPG,35,7,9,9,8.0,2016-11-10
18,PIT,WSH,35,15,10,9,6.7,2016-10-13
19,PHI,MTL,35,20,12,7,10.5,2016-11-05
20,CGY,CHI,35,25,4,6,6.5,2016-10-24
21,TOR,EDM,34,14,12,12,9.7,2016-11-01
22,ANA,PIT,34,10,2,1,5.6,2016-10-15
23,NSH,LAK,33,23,7,1,7.7,2016-10-27
24,LAK,CBJ,33,9,16,3,10.0,2016-10-25
25,BUF,OTT,33,16,7,7,3.1,2016-11-09
26,COL,CHI,33,19,6,6,0.0,2016-11-03
27,LAK,NSH,33,20,7,3,6.7,2016-10-27
28,SJS,PIT,33,14,29,9,0.0,2016-11-05
29,EDM,BUF,32,11,12,7,6.1,2016-10-16
30,CGY,SJS,32,21,14,6,13.6,2016-11-03
31,TOR,VAN,32,13,10,10,14.3,2016-11-05
32,DET,BOS,32,15,13,3,0.0,2016-10-29
33,CBJ,LAK,32,20,7,2,9.5,2016-10-25
34,LAK,PHI,32,13,10,1,8.0,2016-10-14
35,COL,TBL,32,19,5,4,25.0,2016-10-20
36,MTL,PHI,32,16,16,2,9.1,2016-10-24
37,MIN,PIT,32,16,3,3,9.1,2016-11-10
38,NSH,CHI,32,11,6,5,8.3,2016-10-15
39,BUF,NJD,32,15,7,3,3.8,2016-11-11
40,LAK,ANA,32,8,11,2,0.0,2016-11-01
41,PIT,MTL,32,10,10,4,0.0,2016-10-18
42,EDM,TOR,32,16,6,8,4.3,2016-11-01
43,BOS,MTL,31,6,6,8,9.5,2016-10-22
44,PHI,TOR,31,24,11,12,9.1,2016-11-11
45,NYI,NYR,31,19,9,4,10.7,2016-10-13
46,OTT,MTL,31,15,8,5,7.9,2016-10-15
47,EDM,NYI,31,14,8,7,13.0,2016-11-05
48,LAK,VAN,31,8,10,8,9.7,2016-10-22
49,PIT,EDM,31,13,10,8,12.9,2016-11-08
0,NYI,MIN,31,23,9,5,18.2,2016-10-23
1,PHI,DET,30,19,9,4,8.0,2016-11-08
2,EDM,DAL,30,3,17,4,4.8,2016-11-11
3,DAL,CHI,30,13,13,4,6.1,2016-11-05
4,ANA,CAR,30,20,6,7,14.8,2016-11-10
5,OTT,TOR,30,25,11,6,16.7,2016-10-12
6,NYI,PHI,30,18,11,7,7.4,2016-11-03
7,PHI,CHI,30,11,12,9,14.8,2016-10-18
8,ARI,PHI,30,16,2,2,11.4,2016-10-15
9,EDM,WSH,29,13,12,8,13.8,2016-10-26
10,TBL,COL,29,7,6,10,0.0,2016-10-20
11,WPG,EDM,29,7,11,7,0.0,2016-10-23
12,CBJ,BOS,29,15,9,5,9.7,2016-10-13
13,WPG,NYR,29,10,10,2,7.7,2016-11-06
14,WPG,BUF,29,12,11,6,2.6,2016-10-30
15,TOR,PHI,29,13,13,10,26.1,2016-11-11
16,PHI,LAK,29,16,11,2,13.3,2016-10-14
17,OTT,BUF,29,17,10,4,3.4,2016-11-09
18,CBJ,SJS,29,18,19,5,4.0,2016-10-27
19,DAL,CHI,29,10,5,7,8.6,2016-11-06
20,PIT,NYI,29,16,8,8,11.4,2016-10-27
21,FLA,TOR,29,13,12,17,6.5,2016-10-27
22,BOS,NJD,29,18,4,3,5.6,2016-10-20
23,TOR,BUF,28,17,8,5,6.9,2016-11-03
24,DAL,STL,28,17,9,6,22.2,2016-11-03
25,ANA,PHI,28,18,9,6,11.5,2016-10-20
26,MTL,OTT,28,11,8,4,12.5,2016-10-15
27,TOR,BOS,28,18,9,9,16.7,2016-10-15
28,LAK,STL,28,17,2,3,0.0,2016-10-29
29,BUF,MTL,28,8,8,3,3.2,2016-10-13
30,VAN,OTT,27,11,1,3,0.0,2016-11-03
31,SJS,NSH,27,26,19,14,15.4,2016-10-29
32,WSH,WPG,27,11,17,8,12.5,2016-11-03
33,TBL,NJD,27,11,7,11,8.8,2016-10-15
34,STL,COL,27,11,4,8,17.8,2016-11-06
35,DET,PHI,27,17,8,7,5.7,2016-11-08
36,CGY,LAK,27,13,11,0,0.0,2016-11-05
37,OTT,CAR,27,12,14,8,6.3,2016-11-01
38,NJD,TBL,27,12,2,7,5.9,2016-10-15
39,ARI,COL,27,12,7,4,7.7,2016-10-29
40,NJD,MIN,27,7,12,4,6.3,2016-10-22
41,TOR,CHI,27,24,6,3,11.8,2016-10-22
42,BUF,PHI,27,18,4,8,12.0,2016-10-25
43,FLA,PIT,27,20,3,5,9.1,2016-10-25
44,BUF,VAN,27,9,5,2,3.7,2016-10-20
45,PIT,FLA,27,20,3,5,13.6,2016-10-25
46,STL,CHI,27,15,13,6,15.2,2016-10-12
47,COL,STL,27,7,2,5,4.3,2016-11-06
48,BUF,WPG,27,15,15,5,10.7,2016-10-30
49,ANA,NYI,27,13,2,7,7.7,2016-10-16
0,EDM,OTT,27,14,13,5,0.0,2016-10-30
1,NYR,EDM,26,5,12,15,16.1,2016-11-03
2,MTL,BOS,26,28,14,9,13.0,2016-11-08
3,TBL,NJD,26,13,6,6,11.4,2016-11-05
4,BOS,MIN,26,8,16,9,0.0,2016-10-25
5,COL,WSH,26,13,11,5,0.0,2016-10-18
6,EDM,VAN,26,16,5,2,7.4,2016-10-28
7,VAN,DET,26,10,6,4,2.7,2016-11-10
8,PIT,NSH,26,16,9,4,2.9,2016-10-22
9,STL,CBJ,26,15,5,2,6.7,2016-11-05
10,VAN,MTL,26,12,8,8,0.0,2016-11-02
11,CBJ,STL,26,13,1,5,4.8,2016-11-05
12,ARI,NYI,26,20,8,4,8.0,2016-10-21
13,TOR,TBL,26,9,10,10,7.0,2016-10-25
14,NYI,TBL,26,13,8,3,3.7,2016-11-01
15,FLA,DET,26,12,8,2,20.8,2016-10-30
16,WPG,DET,26,12,7,2,16.1,2016-11-04
17,ANA,PIT,26,10,12,4,3.0,2016-11-02
18,NYI,WSH,26,20,5,6,4.5,2016-10-15
19,OTT,VAN,26,25,11,5,4.2,2016-11-03
20,PIT,MIN,25,23,4,2,4.9,2016-11-10
21,BUF,BOS,25,14,10,8,0.0,2016-11-07
22,CGY,ANA,25,9,3,1,3.8,2016-11-06
23,WSH,CHI,25,17,3,8,10.7,2016-11-11
24,PHI,ARI,25,16,13,4,12.5,2016-10-27
25,NYR,SJS,25,18,6,6,24.1,2016-10-17
26,FLA,SJS,25,11,6,4,8.3,2016-11-10
27,CAR,ANA,25,9,5,14,6.7,2016-11-10
28,COL,DAL,25,14,8,12,18.2,2016-10-15
29,NJD,CAR,25,20,6,10,19.0,2016-11-06
30,PIT,ANA,25,13,0,8,6.7,2016-10-15
31,EDM,CGY,25,10,12,8,25.0,2016-10-12
32,CGY,EDM,24,13,12,5,9.8,2016-10-12
33,BOS,TOR,24,13,11,11,4.0,2016-10-15
34,SJS,LAK,24,21,19,15,6.5,2016-10-12
35,BUF,TOR,24,8,9,6,2.3,2016-11-03
36,NYI,SJS,24,17,9,7,8.7,2016-10-18
37,WSH,NYR,24,13,19,10,7.1,2016-10-22
