,team,opponent,hits,blocked_shots,giveaways,takeaways,save%,date
0,NYI,NJD,63,25,11,12,5.9,2015-11-03
1,OTT,CHI,60,16,4,1,0.0,2016-01-03
2,OTT,MTL,56,17,14,4,3.8,2015-12-12
3,NJD,CHI,54,22,5,6,13.6,2015-11-12
4,NYI,STL,53,9,15,9,4.0,2015-12-04
5,STL,NYI,53,12,14,5,3.1,2015-12-04
6,ANA,CHI,52,9,4,0,6.8,2016-02-13
7,NYI,NYR,52,24,13,9,2.7,2015-12-02
8,NYR,NYI,52,20,10,7,2.9,2015-12-02
9,COL,NYI,51,16,14,6,10.7,2015-11-30
10,LAK,ANA,50,14,8,4,8.0,2016-02-04
11,NYI,COL,49,15,13,7,17.8,2015-11-30
12,PHI,COL,49,10,13,6,0.0,2015-11-10
13,LAK,CHI,49,16,0,2,5.7,2015-11-02
14,NSH,CAR,48,12,7,6,9.5,2016-01-02
15,CBJ,PIT,48,12,1,2,8.3,2015-12-21
16,WSH,CHI,47,15,5,3,6.7,2016-02-28
17,OTT,BOS,47,10,11,9,13.6,2015-12-27
18,LAK,PIT,47,14,5,2,5.0,2015-12-11
19,OTT,MTL,46,23,10,4,11.4,2016-03-19
20,SJS,LAK,46,28,29,18,16.1,2016-03-28
21,ARI,PIT,46,17,1,3,0.0,2016-02-29
22,NYI,PIT,46,24,4,4,3.8,2016-03-15
23,CGY,MTL,46,16,18,7,11.4,2016-03-20
24,BOS,MTL,46,25,16,5,16.7,2016-01-19
25,NYR,PIT,46,25,5,0,13.6,2016-02-10
26,PHI,CBJ,46,17,14,5,3.6,2015-12-05
27,TOR,PHI,46,10,12,7,16.7,2016-02-20
28,LAK,CHI,46,24,3,6,20.0,2016-03-14
29,WPG,CHI,46,11,10,8,3.2,2015-12-06
30,BOS,NYI,46,17,8,7,19.2,2015-10-23
31,TOR,MTL,46,16,8,12,10.5,2016-01-23
32,STL,MTL,46,12,14,8,0.0,2015-10-20
33,CBJ,CHI,45,20,8,6,4.3,2015-10-17
34,ANA,ARI,45,20,3,0,6.5,2015-11-25
35,NSH,CHI,45,14,4,7,4.7,2016-01-12
36,BOS,LAK,45,8,8,1,3.6,2016-03-19
37,LAK,MTL,45,21,15,6,15.0,2015-12-17
38,SJS,CHI,44,14,5,1,8.3,2015-12-20
39,CBJ,TOR,44,22,11,13,13.6,2016-01-13
40,NYI,BUF,44,24,12,13,3.3,2015-11-01
41,TOR,WSH,44,8,7,14,5.9,2015-11-28
42,WPG,TOR,44,17,13,7,11.8,2015-11-04
43,LAK,SJS,44,17,17,6,6.3,2016-03-28
44,LAK,WSH,44,15,11,5,13.3,2016-03-09
45,BOS,TOR,43,20,12,15,9.1,2016-03-26
46,ANA,WSH,43,12,15,8,3.6,2016-03-07
47,NJD,ANA,43,7,12,2,4.5,2015-12-19
48,PHI,STL,43,15,8,7,12.9,2015-12-21
49,OTT,TOR,43,16,15,10,24.0,2016-02-06
0,CBJ,TOR,43,12,11,7,11.1,2015-10-16
1,ANA,TOR,43,10,5,7,13.2,2016-03-24
2,NYI,NSH,43,12,14,14,14.3,2015-10-15
3,NYI,MTL,42,10,14,2,5.6,2015-11-05
4,WPG,NYI,42,16,7,11,8.3,2015-10-12
5,NYI,PHI,42,18,11,5,0.0,2016-01-09
6,TOR,WPG,42,14,9,10,7.7,2015-11-04
7,BUF,TOR,42,13,1,1,4.8,2016-03-19
8,BOS,MTL,42,17,17,3,6.5,2015-11-07
9,COL,PHI,42,16,9,5,10.0,2015-11-10
10,NYI,MTL,42,10,15,17,8.3,2015-11-20
11,LAK,STL,42,12,6,9,2.9,2016-02-18
12,CBJ,PHI,42,15,2,7,11.8,2015-12-05
13,LAK,EDM,41,14,10,2,5.6,2016-02-25
14,TOR,TBL,41,12,6,4,0.0,2016-01-27
15,ANA,LAK,41,18,11,5,13.8,2016-02-28
16,BOS,FLA,41,17,2,8,10.0,2015-10-30
17,SJS,MIN,41,17,19,8,0.0,2015-12-12
18,LAK,SJS,41,18,8,3,9.4,2016-01-24
19,TOR,BOS,41,18,10,15,7.1,2015-11-23
20,LAK,TOR,41,12,11,8,0.0,2015-12-19
21,PHI,MTL,41,25,7,3,12.9,2016-01-05
22,BUF,TOR,40,17,11,8,11.1,2016-03-07
23,BUF,PIT,40,10,3,2,5.7,2015-10-29
24,BUF,MTL,40,15,15,4,12.5,2016-02-03
25,WPG,CHI,40,8,7,10,0.0,2015-12-11
26,ANA,ARI,40,12,17,8,8.3,2015-11-09
27,ANA,PIT,40,14,4,4,5.3,2016-02-08
28,WPG,PHI,40,23,11,9,7.1,2016-03-28
29,WPG,MTL,40,10,15,6,13.3,2016-03-05
30,BOS,MTL,40,25,12,3,13.0,2015-12-09
31,MTL,DAL,40,18,17,3,14.3,2016-03-08
32,BOS,OTT,39,13,10,8,2.6,2015-12-27
33,ANA,MTL,39,23,14,5,5.7,2016-03-02
34,CAR,MTL,39,13,14,8,10.3,2015-12-05
35,CBJ,NYI,39,8,4,4,0.0,2015-10-20
36,ANA,LAK,39,14,16,3,6.3,2016-01-17
37,PHI,LAK,39,14,8,3,5.3,2015-11-17
38,MTL,TOR,39,21,9,12,6.9,2016-01-23
39,NSH,PIT,39,10,2,4,8.3,2016-03-31
40,OTT,DET,39,8,15,11,7.4,2016-02-20
41,FLA,LAK,39,9,6,4,5.3,2015-11-07
42,CGY,CHI,39,16,15,8,3.8,2015-11-15
