,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
0,NSH,ANA,1,0,5,0,27,27,25.0,100.0,58.5,2016-11-12,1
1,PIT,PHI,1,0,5,4,27,42,50.0,66.7,46.6,2016-10-29,0
2,TBL,DET,1,0,4,3,22,28,33.3,50.0,43.6,2016-11-15,0
3,OTT,BUF,1,0,1,1,29,32,0.0,100.0,46.0,2016-11-09,0
4,EDM,CAR,1,0,3,2,28,33,0.0,100.0,38.6,2016-10-18,1
5,SJS,WSH,1,0,3,0,23,24,0.0,100.0,45.1,2016-11-08,0
6,MIN,BOS,1,0,1,0,29,25,0.0,100.0,56.7,2016-11-17,1
7,CAR,NYR,1,0,3,2,21,30,100.0,50.0,60.0,2016-10-28,1
8,SJS,LAK,1,0,2,1,31,22,33.3,0.0,50.0,2016-10-12,1
9,STL,CBJ,1,0,2,1,30,21,0.0,100.0,49.2,2016-11-05,1
10,NYR,SJS,1,0,7,4,29,31,33.3,75.0,57.4,2016-10-17,1
11,NYR,EDM,1,0,5,3,31,24,0.0,75.0,52.2,2016-11-03,1
12,MTL,BOS,1,0,3,2,23,43,50.0,50.0,45.2,2016-11-08,1
13,FLA,DET,1,0,5,2,24,36,25.0,60.0,35.6,2016-10-30,0
14,MTL,DET,1,0,5,0,37,25,66.7,100.0,43.6,2016-11-12,1
15,WSH,WPG,1,0,3,2,27,45,0.0,100.0,56.9,2016-11-01,0
16,EDM,DET,1,0,2,1,28,23,50.0,50.0,42.2,2016-11-06,0
17,FLA,COL,1,0,5,2,38,28,16.7,66.7,50.8,2016-10-22,1
18,NJD,CAR,1,0,2,2,41,33,0.0,0.0,60.5,2016-11-08,1
19,WPG,DET,1,0,5,3,31,33,0.0,100.0,42.9,2016-11-04,0
20,ANA,PHI,1,0,3,2,26,22,0.0,85.7,60.9,2016-10-20,0
21,NSH,OTT,1,0,3,1,30,34,0.0,100.0,39.0,2016-11-08,1
22,STL,NYR,1,0,3,2,18,35,20.0,100.0,42.1,2016-10-15,1
23,WSH,FLA,1,0,4,2,29,28,0.0,75.0,43.6,2016-10-20,0
24,CBJ,ANA,1,0,3,2,18,32,0.0,100.0,41.5,2016-11-09,1
25,CHI,DAL,1,0,3,2,32,33,16.7,100.0,50.0,2016-11-05,0
26,ANA,NSH,1,0,6,1,26,29,75.0,80.0,55.2,2016-10-26,1
27,TBL,NJD,1,0,3,2,34,34,0.0,100.0,51.8,2016-10-15,1
28,WPG,ARI,1,0,3,2,27,25,0.0,100.0,49.0,2016-11-10,0
29,FLA,NJD,1,0,4,3,31,34,66.7,75.0,50.0,2016-11-03,1
30,NYR,BOS,1,0,5,2,24,37,33.3,100.0,46.4,2016-11-05,0
31,NJD,ANA,1,0,2,1,28,24,28.6,75.0,48.5,2016-10-18,1
32,PIT,SJS,1,0,5,0,25,32,0.0,100.0,40.3,2016-11-05,0
33,BOS,DET,1,0,1,0,36,24,0.0,100.0,63.6,2016-10-29,0
34,CHI,CGY,1,0,5,1,22,34,25.0,100.0,57.7,2016-11-01,1
35,NJD,DAL,1,0,2,1,33,24,0.0,100.0,47.2,2016-11-15,0
36,PIT,WSH,1,0,2,2,30,41,50.0,100.0,40.6,2016-10-13,1
37,MIN,OTT,1,0,2,1,42,36,0.0,100.0,52.5,2016-11-13,0
38,NYI,VAN,1,0,4,2,32,32,0.0,50.0,39.7,2016-11-07,1
39,CHI,PHI,1,0,7,4,28,27,66.7,50.0,49.1,2016-10-18,1
40,DET,PHI,1,0,2,2,35,25,0.0,50.0,41.4,2016-11-08,0
41,CGY,OTT,1,0,5,2,19,33,0.0,50.0,56.0,2016-10-28,1
42,MTL,TBL,1,0,3,1,26,31,33.3,100.0,50.0,2016-10-27,1
43,MTL,PHI,1,0,3,1,33,32,25.0,100.0,50.8,2016-10-24,1
44,BOS,CBJ,1,0,5,2,32,17,0.0,100.0,69.1,2016-11-10,1
45,MTL,VAN,1,0,3,0,21,42,0.0,100.0,48.3,2016-11-02,1
46,ANA,LAK,1,0,4,0,21,30,50.0,100.0,61.3,2016-11-01,0
47,CBJ,CHI,1,0,3,2,28,34,100.0,100.0,53.4,2016-10-21,1
48,MTL,LAK,1,0,4,1,23,24,0.0,80.0,47.6,2016-11-10,1
49,TOR,EDM,1,0,3,2,31,46,0.0,100.0,49.1,2016-11-01,1
50,LAK,VAN,1,0,3,3,31,25,33.3,66.7,57.4,2016-10-22,1
51,STL,CHI,1,0,5,2,33,19,60.0,75.0,60.3,2016-10-12,0
52,DET,NYR,1,0,2,1,18,33,25.0,100.0,42.1,2016-10-19,0
53,NYI,ARI,1,0,3,2,31,25,0.0,100.0,34.9,2016-10-21,1
54,STL,CGY,1,0,6,4,40,27,50.0,100.0,49.2,2016-10-22,0
55,CHI,NSH,1,0,5,3,27,36,66.7,50.0,47.4,2016-10-15,1
56,WPG,COL,1,0,1,0,21,37,0.0,100.0,35.3,2016-10-28,0
57,ANA,CAR,1,0,4,2,27,30,0.0,100.0,50.0,2016-11-10,0
58,ANA,ARI,1,0,5,1,33,22,50.0,100.0,56.3,2016-11-04,1
59,OTT,VAN,1,0,3,0,28,22,0.0,100.0,39.0,2016-10-25,0
60,WSH,NYI,1,0,2,1,28,22,0.0,50.0,48.2,2016-10-15,1
61,TBL,NYI,1,0,6,1,36,27,28.6,100.0,42.9,2016-11-01,0
62,MTL,TOR,1,0,2,1,31,38,33.3,75.0,55.6,2016-10-29,1
63,BUF,FLA,1,0,3,0,25,33,50.0,100.0,55.2,2016-10-29,1
64,SJS,ANA,1,0,2,1,36,20,20.0,100.0,38.6,2016-10-25,1
65,CBJ,WSH,1,0,2,1,27,22,0.0,100.0,51.8,2016-11-15,1
