,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
0,MIN,TOR,1,0,1,0,28,28,33.3,100.0,50.0,2015-12-03,1
1,DAL,VAN,1,0,2,2,25,36,40.0,85.7,60.7,2015-11-27,1
2,EDM,DET,1,0,3,1,28,29,33.3,100.0,41.4,2015-10-21,1
3,SJS,ARI,1,0,4,1,28,23,20.0,100.0,48.4,2016-02-13,1
4,VAN,NYI,1,0,1,1,26,48,0.0,100.0,47.8,2016-01-17,0
5,MTL,BUF,1,0,7,2,26,36,66.7,75.0,59.1,2015-10-23,0
6,OTT,LAK,1,0,5,3,23,33,25.0,66.7,41.0,2016-01-16,0
7,PIT,DET,1,0,7,2,41,23,40.0,50.0,47.7,2016-03-26,0
8,NYI,NYR,1,0,1,1,37,34,50.0,100.0,48.1,2015-12-02,1
9,SJS,NYR,1,0,4,1,52,26,33.3,100.0,42.9,2016-03-19,1
10,DET,NYI,1,0,5,1,20,29,33.3,80.0,47.8,2016-02-06,1
11,MIN,CBJ,1,0,4,2,33,31,0.0,100.0,49.1,2016-01-05,0
12,CHI,TOR,1,0,7,2,32,37,57.1,75.0,48.3,2016-02-15,1
13,VAN,BUF,1,0,5,2,31,34,16.7,100.0,49.2,2015-12-07,1
14,DAL,BUF,1,0,3,1,29,25,0.0,66.7,61.3,2015-11-17,0
15,ANA,NSH,1,0,4,2,28,42,0.0,83.3,52.5,2015-11-01,1
16,TBL,BUF,1,0,2,1,22,32,25.0,100.0,49.0,2015-10-17,1
17,STL,CBJ,1,0,3,1,32,24,33.3,100.0,69.8,2015-11-28,1
18,NYR,MTL,1,0,5,2,23,26,66.7,100.0,43.1,2016-03-26,0
19,WPG,COL,1,0,4,2,39,34,50.0,75.0,51.3,2016-02-06,0
20,VAN,ARI,1,0,4,3,22,31,25.0,100.0,38.9,2015-10-30,0
21,TBL,COL,1,0,4,0,38,21,0.0,100.0,58.3,2016-01-12,0
22,DET,VAN,1,0,3,2,28,32,16.7,50.0,38.3,2015-10-24,0
23,MTL,NJD,1,0,2,1,25,20,33.3,100.0,56.6,2016-01-06,1
24,PIT,SJS,1,0,5,1,29,34,50.0,66.7,50.0,2015-12-01,0
25,PIT,WSH,1,0,3,1,25,34,0.0,100.0,54.7,2015-10-28,0
26,LAK,WSH,1,0,4,3,30,32,33.3,0.0,56.1,2016-03-09,1
27,WSH,OTT,1,0,7,1,36,33,66.7,100.0,53.5,2016-01-10,1
28,PHI,NJD,1,0,4,3,25,18,66.7,75.0,50.9,2015-12-04,0
29,WSH,STL,1,0,5,1,36,20,0.0,100.0,54.5,2016-04-09,0
30,PHI,STL,1,0,4,2,29,37,0.0,50.0,32.8,2015-12-10,0
31,CAR,STL,1,0,4,1,28,24,33.3,100.0,54.9,2016-01-14,0
