,home_team,away_team,date,home_team_win,spread,home_spread,home_wins,home_goals,home_shots,home_PP%,home_FOW%,home_PIM,home_hits,home_blocked,home_giveaways,home_takeaways,home_save%,home_shot%,home_PDO,home_corsi,away_spread,away_wins,away_goals,away_shots,away_PP%,away_FOW%,away_PIM,away_hits,away_blocked,away_giveaways,away_takeaways,away_save%,away_shot%,away_PDO,away_corsi
0,ANA,MIN,2015-10-18,1,3,-3.5,0.0,0.0,36.0,0.0,53.65,12.5,21.5,13.5,12.0,5.0,0.0,0.0,0.0,9.0,0.0,0.5,2.5,25.0,12.5,53.3,17.0,24.0,8.0,7.0,2.5,7.7,0.077027027027,7.77702702703,8.5
1,LAK,COL,2015-10-18,1,1,-1.0,0.5,1.0,26.0,12.5,49.6,11.5,25.5,8.0,9.5,2.0,2.7,0.027027027027,2.72702702703,0.0,-0.5,0.5,2.5,23.5,12.5,49.0,6.0,18.0,11.0,8.0,6.0,4.55,0.0454545454545,4.59545454545,3.5
2,NYR,NJD,2015-10-18,0,-1,-3.0,0.0,0.5,33.0,0.0,57.1,12.0,21.0,14.5,18.0,9.5,5.9,0.0590701219512,5.95907012195,9.5,-1.0,0.0,1.0,27.5,33.35,42.9,4.0,24.0,7.5,9.0,4.0,3.7,0.0373641304348,3.73736413043,0.5
3,VAN,EDM,2015-10-18,0,-1,1.0,0.5,3.0,30.0,0.0,50.85,13.0,20.0,9.0,9.5,3.0,4.4,0.0441176470588,4.44411764706,-4.5,0.5,0.5,3.5,27.0,12.5,49.95,10.5,25.0,16.5,9.5,6.5,8.0,0.0801282051282,8.08012820513,-3.5
4,WPG,STL,2015-10-18,0,-2,2.5,1.0,3.5,29.5,0.0,56.6,8.0,21.0,11.0,14.0,10.0,6.2,0.0621951219512,6.26219512195,11.0,1.5,1.0,4.0,30.5,0.0,53.65,10.5,22.0,11.5,10.5,5.5,8.25,0.0825791855204,8.33257918552,-0.5
5,NYR,SJS,2015-10-19,1,4,-2.0,0.0,0.5,26.0,0.0,55.0,11.5,22.5,11.5,19.0,7.0,6.55,0.0653935185185,6.61539351852,5.0,-1.5,0.5,2.0,29.5,25.0,47.1,4.0,32.5,9.5,8.0,7.5,10.35,0.103860294118,10.4538602941,3.5
6,CBJ,NYI,2015-10-20,0,-4,-3.0,0.0,2.0,25.0,32.5,48.7,8.5,34.0,11.0,9.5,7.0,12.2,0.122222222222,12.3222222222,0.0,2.0,1.0,5.0,31.0,16.65,53.45,5.0,36.5,12.0,10.5,12.0,15.95,0.159663865546,16.1096638655,-5.0
7,CGY,WSH,2015-10-20,0,-4,-2.5,0.0,1.5,22.0,12.5,47.95,8.5,19.0,15.0,9.5,5.5,9.15,0.0916666666667,9.24166666667,3.0,3.0,1.0,4.0,29.0,75.0,49.15,6.0,24.0,19.0,15.5,11.0,14.25,0.142156862745,14.3921568627,6.0
8,MTL,STL,2015-10-20,1,3,3.0,1.0,3.5,36.5,20.0,52.55,9.0,17.5,14.5,13.5,6.0,9.6,0.0956554878049,9.6956554878,13.0,1.5,1.0,4.0,36.5,14.3,47.6,15.5,22.5,9.5,10.0,4.5,7.85,0.0786004056795,7.92860040568,-5.0
9,NJD,ARI,2015-10-20,1,1,0.5,0.5,1.5,28.0,8.35,46.9,7.5,31.5,6.5,13.0,7.0,3.4,0.0341435185185,3.43414351852,0.5,-1.5,0.0,3.0,26.5,12.5,55.0,20.5,20.5,12.5,5.0,5.0,11.5,0.115217391304,11.6152173913,-7.0
10,NSH,TBL,2015-10-20,1,0,-0.5,0.5,3.0,36.0,0.0,52.4,17.0,39.0,13.5,9.5,10.0,10.8,0.108013937282,10.9080139373,-1.5,-0.5,0.5,2.5,27.5,12.5,57.55,12.5,26.5,8.0,5.0,4.5,9.1,0.0909090909091,9.19090909091,0.5
11,PHI,DAL,2015-10-20,0,-1,2.0,1.0,2.0,31.0,8.35,48.2,14.0,29.5,17.0,8.5,5.0,6.65,0.0668756530825,6.71687565308,0.5,2.0,1.0,4.5,29.5,0.0,57.6,12.5,30.0,10.5,4.5,4.0,8.4,0.0839160839161,8.48391608392,0.0
12,PIT,FLA,2015-10-20,1,1,1.5,1.0,2.0,34.5,0.0,45.95,10.5,22.0,14.0,7.5,7.5,5.85,0.0580808080808,5.90808080808,10.0,-0.5,0.5,2.5,27.5,20.0,53.25,9.0,33.5,11.0,4.5,3.0,9.0,0.0901856763926,9.09018567639,-4.0
13,BOS,PHI,2015-10-21,0,-1,3.0,1.0,5.5,34.0,25.0,49.45,10.5,17.5,13.5,3.5,7.5,11.05,0.110671936759,11.1606719368,-11.5,1.0,0.5,2.0,32.0,8.35,49.4,10.0,32.5,17.0,8.0,2.0,6.6,0.0660098522167,6.66600985222,1.0
14,BUF,TOR,2015-10-21,1,0,-1.0,0.0,1.5,29.0,32.5,53.2,9.0,30.0,8.5,5.0,3.5,9.7,0.0971786833856,9.79717868339,-3.5,1.0,0.5,3.5,30.5,12.5,42.7,7.0,32.0,12.0,10.0,7.0,8.6,0.0858585858586,8.68585858586,-0.5
15,COL,CAR,2015-10-21,0,-1,1.0,0.5,2.0,24.0,0.0,54.9,20.0,20.5,11.0,14.5,3.5,2.5,0.025,2.525,13.5,-0.5,0.5,3.0,27.5,50.0,45.45,8.0,18.0,12.5,11.5,10.0,13.4,0.133823529412,13.5338235294,-0.5
16,EDM,DET,2015-10-21,1,2,2.0,1.0,3.5,26.0,12.5,55.4,8.5,23.0,13.0,11.5,5.0,5.6,0.0563725490196,5.65637254902,3.0,-2.5,0.0,2.0,21.0,20.0,47.1,6.0,17.5,9.0,7.0,6.0,12.4,0.123780487805,12.5237804878,1.5
