,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,1,1,1.0
1,LAK,COL,2015-10-18,1,1,1,1.0
2,NYR,NJD,2015-10-18,0,1,0,0.666666666667
3,VAN,EDM,2015-10-18,0,1,0,0.5
4,WPG,STL,2015-10-18,0,1,0,0.4
5,NYR,SJS,2015-10-19,1,1,1,0.5
6,PIT,FLA,2015-10-20,1,1,1,0.571428571429
7,PHI,DAL,2015-10-20,0,1,0,0.5
8,NJD,ARI,2015-10-20,1,1,1,0.555555555556
9,NSH,TBL,2015-10-20,1,1,1,0.6
10,CGY,WSH,2015-10-20,0,1,0,0.545454545455
11,CBJ,NYI,2015-10-20,0,1,0,0.5
12,MTL,STL,2015-10-20,1,1,1,0.538461538462
13,BOS,PHI,2015-10-21,0,1,0,0.5
14,BUF,TOR,2015-10-21,1,1,1,0.533333333333
15,COL,CAR,2015-10-21,0,1,0,0.5
16,EDM,DET,2015-10-21,1,1,1,0.529411764706
17,PIT,DAL,2015-10-22,0,1,0,0.5
18,VAN,WSH,2015-10-22,0,1,0,0.473684210526
19,SJS,LAK,2015-10-22,0,1,0,0.45
20,OTT,NJD,2015-10-22,0,1,0,0.428571428571
21,MIN,CBJ,2015-10-22,1,1,1,0.454545454545
22,NSH,ANA,2015-10-22,1,1,1,0.478260869565
23,CHI,FLA,2015-10-22,1,1,1,0.5
24,NYR,ARI,2015-10-22,1,1,1,0.52
25,BUF,MTL,2015-10-23,0,1,0,0.5
26,CGY,DET,2015-10-23,1,1,1,0.518518518519
27,EDM,WSH,2015-10-23,0,1,0,0.5
28,LAK,CAR,2015-10-23,1,1,1,0.51724137931
29,NYI,BOS,2015-10-23,0,1,0,0.5
30,WPG,TBL,2015-10-23,0,1,0,0.483870967742
31,OTT,ARI,2015-10-24,0,1,0,0.46875
32,VAN,DET,2015-10-24,0,1,0,0.454545454545
33,STL,NYI,2015-10-24,0,1,0,0.441176470588
34,SJS,CAR,2015-10-24,1,1,1,0.457142857143
35,PHI,NYR,2015-10-24,1,1,1,0.472222222222
36,NSH,PIT,2015-10-24,0,1,0,0.459459459459
37,MTL,TOR,2015-10-24,1,1,1,0.473684210526
38,MIN,ANA,2015-10-24,1,1,1,0.487179487179
39,DAL,FLA,2015-10-24,0,1,0,0.475
40,COL,CBJ,2015-10-24,0,1,0,0.463414634146
41,CHI,TBL,2015-10-24,1,1,1,0.47619047619
42,BUF,NJD,2015-10-24,0,1,0,0.46511627907
43,EDM,LAK,2015-10-25,0,1,0,0.454545454545
44,NYR,CGY,2015-10-25,1,1,1,0.466666666667
45,WPG,MIN,2015-10-25,1,1,1,0.478260869565
