,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,1,1,1.0
1,LAK,COL,2015-10-18,1,1,1,1.0
2,NYR,NJD,2015-10-18,0,1,0,0.666666666667
3,VAN,EDM,2015-10-18,0,1,0,0.5
4,WPG,STL,2015-10-18,0,0,1,0.6
5,NYR,SJS,2015-10-19,1,1,1,0.666666666667
6,PIT,FLA,2015-10-20,1,1,1,0.714285714286
7,PHI,DAL,2015-10-20,0,0,1,0.75
8,NJD,ARI,2015-10-20,1,1,1,0.777777777778
9,NSH,TBL,2015-10-20,1,1,1,0.8
10,CGY,WSH,2015-10-20,0,0,1,0.818181818182
11,CBJ,NYI,2015-10-20,0,0,1,0.833333333333
12,MTL,STL,2015-10-20,1,1,1,0.846153846154
13,BOS,PHI,2015-10-21,0,1,0,0.785714285714
14,BUF,TOR,2015-10-21,1,1,1,0.8
15,COL,CAR,2015-10-21,0,1,0,0.75
16,EDM,DET,2015-10-21,1,1,1,0.764705882353
17,PIT,DAL,2015-10-22,0,0,1,0.777777777778
18,VAN,WSH,2015-10-22,0,1,0,0.736842105263
19,SJS,LAK,2015-10-22,0,0,1,0.75
20,OTT,NJD,2015-10-22,0,1,0,0.714285714286
21,MIN,CBJ,2015-10-22,1,1,1,0.727272727273
22,NSH,ANA,2015-10-22,1,1,1,0.739130434783
23,CHI,FLA,2015-10-22,1,1,1,0.75
24,NYR,ARI,2015-10-22,1,1,1,0.76
25,BUF,MTL,2015-10-23,0,0,1,0.769230769231
26,CGY,DET,2015-10-23,1,1,1,0.777777777778
27,EDM,WSH,2015-10-23,0,1,0,0.75
28,LAK,CAR,2015-10-23,1,1,1,0.758620689655
29,NYI,BOS,2015-10-23,0,1,0,0.733333333333
30,WPG,TBL,2015-10-23,0,1,0,0.709677419355
31,OTT,ARI,2015-10-24,0,1,0,0.6875
32,VAN,DET,2015-10-24,0,1,0,0.666666666667
33,STL,NYI,2015-10-24,0,1,0,0.647058823529
34,SJS,CAR,2015-10-24,1,1,1,0.657142857143
35,PHI,NYR,2015-10-24,1,1,1,0.666666666667
36,NSH,PIT,2015-10-24,0,0,1,0.675675675676
37,MTL,TOR,2015-10-24,1,1,1,0.684210526316
38,MIN,ANA,2015-10-24,1,1,1,0.692307692308
39,DAL,FLA,2015-10-24,0,1,0,0.675
40,COL,CBJ,2015-10-24,0,0,1,0.682926829268
41,CHI,TBL,2015-10-24,1,1,1,0.690476190476
42,BUF,NJD,2015-10-24,0,1,0,0.674418604651
43,EDM,LAK,2015-10-25,0,0,1,0.681818181818
44,NYR,CGY,2015-10-25,1,1,1,0.688888888889
45,WPG,MIN,2015-10-25,1,1,1,0.695652173913
