,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,1,1,1.0
1,LAK,COL,2015-10-18,1,1,1,1.0
2,NYR,NJD,2015-10-18,0,1,0,0.666666666667
3,VAN,EDM,2015-10-18,0,1,0,0.5
4,WPG,STL,2015-10-18,0,1,0,0.4
5,NYR,SJS,2015-10-19,1,1,1,0.5
6,PIT,FLA,2015-10-20,1,1,1,0.571428571429
7,PHI,DAL,2015-10-20,0,1,0,0.5
8,NJD,ARI,2015-10-20,1,1,1,0.555555555556
9,NSH,TBL,2015-10-20,1,1,1,0.6
10,CGY,WSH,2015-10-20,0,0,1,0.636363636364
11,CBJ,NYI,2015-10-20,0,0,1,0.666666666667
12,MTL,STL,2015-10-20,1,1,1,0.692307692308
13,BOS,PHI,2015-10-21,0,0,1,0.714285714286
14,BUF,TOR,2015-10-21,1,1,1,0.733333333333
15,COL,CAR,2015-10-21,0,1,0,0.6875
16,EDM,DET,2015-10-21,1,1,1,0.705882352941
17,PIT,DAL,2015-10-22,0,0,1,0.722222222222
18,VAN,WSH,2015-10-22,0,1,0,0.684210526316
19,SJS,LAK,2015-10-22,0,0,1,0.7
20,OTT,NJD,2015-10-22,0,1,0,0.666666666667
21,MIN,CBJ,2015-10-22,1,1,1,0.681818181818
22,NSH,ANA,2015-10-22,1,1,1,0.695652173913
23,CHI,FLA,2015-10-22,1,1,1,0.708333333333
24,NYR,ARI,2015-10-22,1,1,1,0.72
25,BUF,MTL,2015-10-23,0,1,0,0.692307692308
26,CGY,DET,2015-10-23,1,1,1,0.703703703704
27,EDM,WSH,2015-10-23,0,1,0,0.678571428571
28,LAK,CAR,2015-10-23,1,1,1,0.689655172414
29,NYI,BOS,2015-10-23,0,1,0,0.666666666667
30,WPG,TBL,2015-10-23,0,1,0,0.645161290323
31,OTT,ARI,2015-10-24,0,1,0,0.625
32,VAN,DET,2015-10-24,0,1,0,0.606060606061
33,STL,NYI,2015-10-24,0,1,0,0.588235294118
34,SJS,CAR,2015-10-24,1,1,1,0.6
35,PHI,NYR,2015-10-24,1,1,1,0.611111111111
36,NSH,PIT,2015-10-24,0,0,1,0.621621621622
37,MTL,TOR,2015-10-24,1,1,1,0.631578947368
38,MIN,ANA,2015-10-24,1,1,1,0.641025641026
39,DAL,FLA,2015-10-24,0,1,0,0.625
40,COL,CBJ,2015-10-24,0,1,0,0.609756097561
41,CHI,TBL,2015-10-24,1,1,1,0.619047619048
42,BUF,NJD,2015-10-24,0,1,0,0.604651162791
43,EDM,LAK,2015-10-25,0,1,0,0.590909090909
44,NYR,CGY,2015-10-25,1,1,1,0.6
45,WPG,MIN,2015-10-25,1,1,1,0.608695652174
