,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,0,0,0.0
1,LAK,COL,2015-10-18,1,1,1,0.5
2,NYR,NJD,2015-10-18,0,1,0,0.333333333333
3,VAN,EDM,2015-10-18,0,1,0,0.25
4,WPG,STL,2015-10-18,0,1,0,0.2
5,NYR,SJS,2015-10-19,1,1,1,0.333333333333
6,PIT,FLA,2015-10-20,1,1,1,0.428571428571
7,PHI,DAL,2015-10-20,0,0,1,0.5
8,NJD,ARI,2015-10-20,1,1,1,0.555555555556
9,NSH,TBL,2015-10-20,1,1,1,0.6
10,CGY,WSH,2015-10-20,0,0,1,0.636363636364
11,CBJ,NYI,2015-10-20,0,0,1,0.666666666667
12,MTL,STL,2015-10-20,1,1,1,0.692307692308
13,BOS,PHI,2015-10-21,0,1,0,0.642857142857
14,BUF,TOR,2015-10-21,1,0,0,0.6
15,COL,CAR,2015-10-21,0,1,0,0.5625
16,EDM,DET,2015-10-21,1,1,1,0.588235294118
17,PIT,DAL,2015-10-22,0,0,1,0.611111111111
18,VAN,WSH,2015-10-22,0,1,0,0.578947368421
19,SJS,LAK,2015-10-22,0,0,1,0.6
20,OTT,NJD,2015-10-22,0,0,1,0.619047619048
21,MIN,CBJ,2015-10-22,1,0,0,0.590909090909
22,NSH,ANA,2015-10-22,1,1,1,0.608695652174
23,CHI,FLA,2015-10-22,1,0,0,0.583333333333
24,NYR,ARI,2015-10-22,1,1,1,0.6
25,BUF,MTL,2015-10-23,0,0,1,0.615384615385
26,CGY,DET,2015-10-23,1,1,1,0.62962962963
27,EDM,WSH,2015-10-23,0,1,0,0.607142857143
28,LAK,CAR,2015-10-23,1,1,1,0.620689655172
29,NYI,BOS,2015-10-23,0,1,0,0.6
30,WPG,TBL,2015-10-23,0,1,0,0.58064516129
31,OTT,ARI,2015-10-24,0,1,0,0.5625
32,VAN,DET,2015-10-24,0,1,0,0.545454545455
33,STL,NYI,2015-10-24,0,1,0,0.529411764706
34,SJS,CAR,2015-10-24,1,1,1,0.542857142857
35,PHI,NYR,2015-10-24,1,1,1,0.555555555556
36,NSH,PIT,2015-10-24,0,0,1,0.567567567568
37,MTL,TOR,2015-10-24,1,1,1,0.578947368421
38,MIN,ANA,2015-10-24,1,1,1,0.589743589744
39,DAL,FLA,2015-10-24,0,1,0,0.575
40,COL,CBJ,2015-10-24,0,0,1,0.585365853659
41,CHI,TBL,2015-10-24,1,1,1,0.595238095238
42,BUF,NJD,2015-10-24,0,1,0,0.581395348837
43,EDM,LAK,2015-10-25,0,0,1,0.590909090909
44,NYR,CGY,2015-10-25,1,1,1,0.6
45,WPG,MIN,2015-10-25,1,1,1,0.608695652174
46,CHI,ANA,2015-10-26,1,1,1,0.617021276596
47,NYI,CGY,2015-10-26,1,1,1,0.625
48,TOR,ARI,2015-10-26,0,1,0,0.612244897959
49,WPG,LAK,2015-10-27,0,1,0,0.6
50,VAN,MTL,2015-10-27,1,0,0,0.588235294118
51,STL,TBL,2015-10-27,1,1,1,0.596153846154
52,NJD,CBJ,2015-10-27,0,0,1,0.603773584906
53,PHI,BUF,2015-10-27,0,1,0,0.592592592593
54,FLA,COL,2015-10-27,1,1,1,0.6
55,DET,CAR,2015-10-27,0,1,0,0.589285714286
56,DAL,ANA,2015-10-27,1,1,1,0.59649122807
57,BOS,ARI,2015-10-27,1,1,1,0.603448275862
58,MIN,EDM,2015-10-27,1,1,1,0.610169491525
59,OTT,CGY,2015-10-28,1,1,1,0.616666666667
60,SJS,NSH,2015-10-28,0,0,1,0.622950819672
61,WSH,PIT,2015-10-28,0,0,1,0.629032258065
62,WPG,CHI,2015-10-29,1,1,1,0.634920634921
63,TBL,COL,2015-10-29,0,1,0,0.625
64,STL,ANA,2015-10-29,1,1,1,0.630769230769
65,PIT,BUF,2015-10-29,1,0,0,0.621212121212
66,EDM,MTL,2015-10-29,1,0,0,0.611940298507
67,NYI,CAR,2015-10-29,0,1,0,0.602941176471
68,DAL,VAN,2015-10-29,1,1,1,0.608695652174
69,PHI,NJD,2015-10-29,0,1,0,0.6
70,MIN,CHI,2015-10-30,1,1,1,0.605633802817
71,WSH,CBJ,2015-10-30,1,1,1,0.611111111111
72,NYR,TOR,2015-10-30,1,1,1,0.616438356164
73,FLA,BOS,2015-10-30,0,1,0,0.608108108108
74,CGY,MTL,2015-10-30,0,0,1,0.613333333333
75,DET,OTT,2015-10-30,0,0,1,0.618421052632
76,CAR,COL,2015-10-30,1,1,1,0.623376623377
77,BUF,PHI,2015-10-30,1,0,0,0.615384615385
78,ARI,VAN,2015-10-30,0,0,1,0.620253164557
79,TOR,PIT,2015-10-31,0,1,0,0.6125
80,TBL,BOS,2015-10-31,0,1,0,0.604938271605
81,STL,MIN,2015-10-31,1,1,1,0.609756097561
82,OTT,DET,2015-10-31,0,1,0,0.602409638554
83,NJD,NYI,2015-10-31,1,1,1,0.607142857143
84,FLA,WSH,2015-10-31,0,1,0,0.6
85,EDM,CGY,2015-10-31,0,1,0,0.593023255814
86,DAL,SJS,2015-10-31,1,1,1,0.597701149425
87,CBJ,WPG,2015-10-31,0,1,0,0.590909090909
88,LAK,NSH,2015-10-31,1,1,1,0.595505617978
89,NYI,BUF,2015-11-01,0,0,1,0.6
90,ANA,NSH,2015-11-01,1,0,0,0.593406593407
91,COL,SJS,2015-11-01,0,1,0,0.586956521739
92,MTL,WPG,2015-11-01,1,1,1,0.591397849462
93,CAR,TBL,2015-11-01,0,1,0,0.585106382979
94,VAN,PHI,2015-11-02,1,0,0,0.578947368421
95,CHI,LAK,2015-11-02,1,0,0,0.572916666667
96,TOR,DAL,2015-11-02,1,0,0,0.567010309278
97,STL,LAK,2015-11-03,0,1,0,0.561224489796
98,BOS,DAL,2015-11-03,0,0,1,0.565656565657
99,COL,CGY,2015-11-03,1,1,1,0.57
100,DET,TBL,2015-11-03,1,1,1,0.574257425743
101,EDM,PHI,2015-11-03,1,0,0,0.56862745098
102,MTL,OTT,2015-11-03,0,0,1,0.572815533981
103,NYI,NJD,2015-11-03,1,1,1,0.576923076923
104,NYR,WSH,2015-11-03,1,1,1,0.580952380952
105,SJS,CBJ,2015-11-03,0,1,0,0.575471698113
106,VAN,PIT,2015-11-04,0,0,1,0.579439252336
107,TOR,WPG,2015-11-04,0,1,0,0.574074074074
108,ANA,FLA,2015-11-04,1,0,0,0.56880733945
109,CHI,STL,2015-11-04,0,0,1,0.572727272727
110,WSH,BOS,2015-11-05,1,1,1,0.576576576577
111,OTT,WPG,2015-11-05,1,1,1,0.580357142857
112,SJS,FLA,2015-11-05,1,1,1,0.58407079646
113,MTL,NYI,2015-11-05,1,1,1,0.587719298246
114,ARI,COL,2015-11-05,1,1,1,0.591304347826
115,LAK,CBJ,2015-11-05,0,1,0,0.586206896552
116,CGY,PHI,2015-11-05,1,0,0,0.581196581197
117,BUF,TBL,2015-11-05,0,1,0,0.576271186441
118,MIN,NSH,2015-11-05,0,0,1,0.579831932773
119,ANA,CBJ,2015-11-06,1,1,1,0.583333333333
120,CAR,DAL,2015-11-06,0,1,0,0.578512396694
121,COL,NYR,2015-11-06,0,1,0,0.573770491803
122,EDM,PIT,2015-11-06,0,0,1,0.577235772358
123,NJD,CHI,2015-11-06,1,0,0,0.572580645161
124,TOR,DET,2015-11-06,0,1,0,0.568
125,WSH,TOR,2015-11-07,1,1,1,0.571428571429
126,WPG,PHI,2015-11-07,0,1,0,0.566929133858
127,SJS,ANA,2015-11-07,0,1,0,0.5625
128,NSH,STL,2015-11-07,0,0,1,0.565891472868
129,MTL,BOS,2015-11-07,1,1,1,0.569230769231
130,CGY,PIT,2015-11-07,1,0,0,0.564885496183
131,LAK,FLA,2015-11-07,1,1,1,0.568181818182
132,CAR,OTT,2015-11-07,1,0,0,0.563909774436
133,BUF,VAN,2015-11-07,1,1,1,0.567164179104
134,ARI,NYR,2015-11-07,0,1,0,0.562962962963
135,MIN,TBL,2015-11-07,1,1,1,0.566176470588
136,CHI,EDM,2015-11-08,1,1,1,0.569343065693
137,DET,DAL,2015-11-08,0,0,1,0.572463768116
138,NJD,VAN,2015-11-08,1,0,0,0.568345323741
139,NYI,BOS,2015-11-08,0,1,0,0.564285714286
140,ANA,ARI,2015-11-09,0,0,1,0.567375886525
141,NYR,CAR,2015-11-10,1,1,1,0.570422535211
142,PHI,COL,2015-11-10,0,1,0,0.566433566434
143,NSH,OTT,2015-11-10,1,1,1,0.569444444444
144,TBL,BUF,2015-11-10,0,0,1,0.572413793103
145,SJS,NYI,2015-11-10,0,1,0,0.568493150685
146,NJD,STL,2015-11-10,0,0,1,0.571428571429
147,FLA,CGY,2015-11-10,1,1,1,0.574324324324
148,LAK,ARI,2015-11-10,0,1,0,0.570469798658
149,MIN,WPG,2015-11-10,1,1,1,0.573333333333
150,DET,WSH,2015-11-10,1,0,0,0.569536423841
151,DAL,TOR,2015-11-10,0,1,0,0.565789473684
152,CBJ,VAN,2015-11-10,0,1,0,0.562091503268
153,ANA,EDM,2015-11-11,0,1,0,0.558441558442
154,PIT,MTL,2015-11-11,1,1,1,0.561290322581
155,TBL,CGY,2015-11-12,1,1,1,0.564102564103
156,OTT,VAN,2015-11-12,1,1,1,0.566878980892
157,NYR,STL,2015-11-12,1,0,0,0.563291139241
158,NSH,TOR,2015-11-12,0,1,0,0.559748427673
159,LAK,NYI,2015-11-12,1,1,1,0.5625
160,PHI,WSH,2015-11-12,0,1,0,0.55900621118
161,DAL,WPG,2015-11-12,1,1,1,0.561728395062
162,CHI,NJD,2015-11-12,0,1,0,0.558282208589
163,CAR,MIN,2015-11-12,0,1,0,0.55487804878
164,BOS,COL,2015-11-12,0,1,0,0.551515151515
165,ARI,EDM,2015-11-12,1,1,1,0.55421686747
166,FLA,BUF,2015-11-12,0,0,1,0.556886227545
167,ANA,NYI,2015-11-13,0,1,0,0.553571428571
168,DET,SJS,2015-11-13,0,1,0,0.550295857988
169,PIT,CBJ,2015-11-13,0,1,0,0.547058823529
170,WSH,CGY,2015-11-13,0,1,0,0.543859649123
171,STL,CHI,2015-11-14,0,1,0,0.540697674419
172,OTT,NYR,2015-11-14,0,1,0,0.537572254335
173,NSH,WPG,2015-11-14,1,1,1,0.540229885057
174,NJD,PIT,2015-11-14,1,0,0,0.537142857143
175,MTL,COL,2015-11-14,0,0,1,0.539772727273
176,BUF,SJS,2015-11-14,0,1,0,0.536723163842
177,DAL,MIN,2015-11-14,1,1,1,0.539325842697
178,CBJ,ARI,2015-11-14,1,1,1,0.541899441341
179,CAR,PHI,2015-11-14,0,1,0,0.538888888889
180,BOS,DET,2015-11-14,1,1,1,0.541436464088
181,TBL,FLA,2015-11-14,0,1,0,0.538461538462
182,LAK,EDM,2015-11-14,1,1,1,0.540983606557
183,TOR,VAN,2015-11-14,1,1,1,0.54347826087
184,NYR,TOR,2015-11-15,1,1,1,0.545945945946
185,CHI,CGY,2015-11-15,1,1,1,0.548387096774
186,CAR,ANA,2015-11-16,0,1,0,0.545454545455
187,FLA,TBL,2015-11-16,1,1,1,0.547872340426
188,MTL,VAN,2015-11-16,1,1,1,0.550264550265
189,NYI,ARI,2015-11-16,1,1,1,0.552631578947
190,OTT,DET,2015-11-16,0,1,0,0.549738219895
191,STL,WPG,2015-11-16,1,1,1,0.552083333333
192,CGY,NJD,2015-11-17,1,1,1,0.554404145078
193,BOS,SJS,2015-11-17,0,1,0,0.551546391753
194,BUF,DAL,2015-11-17,0,1,0,0.548717948718
195,CBJ,STL,2015-11-17,1,0,0,0.545918367347
196,NSH,ANA,2015-11-17,1,1,1,0.548223350254
197,PHI,LAK,2015-11-17,0,0,1,0.550505050505
198,PIT,MIN,2015-11-17,1,1,1,0.552763819095
199,TOR,COL,2015-11-17,1,1,1,0.555
200,WPG,VAN,2015-11-18,1,0,0,0.55223880597
201,EDM,CHI,2015-11-18,0,0,1,0.554455445545
202,DET,WSH,2015-11-18,0,0,1,0.556650246305
203,STL,BUF,2015-11-19,1,0,0,0.553921568627
204,TBL,NYR,2015-11-19,1,1,1,0.556097560976
205,WSH,DAL,2015-11-19,0,1,0,0.553398058252
206,PIT,COL,2015-11-19,1,0,0,0.550724637681
207,BOS,MIN,2015-11-19,1,1,1,0.552884615385
208,OTT,CBJ,2015-11-19,1,1,1,0.555023923445
209,MTL,ARI,2015-11-19,0,1,0,0.552380952381
210,FLA,ANA,2015-11-19,0,0,1,0.554502369668
211,PHI,SJS,2015-11-19,0,0,1,0.556603773585
212,NYI,MTL,2015-11-20,0,0,1,0.558685446009
213,CAR,TOR,2015-11-20,0,1,0,0.556074766355
214,CBJ,NSH,2015-11-20,1,0,0,0.553488372093
215,CGY,CHI,2015-11-20,1,0,0,0.550925925926
216,DET,LAK,2015-11-20,1,0,0,0.548387096774
217,EDM,NJD,2015-11-20,1,1,1,0.550458715596
218,VAN,CHI,2015-11-21,1,1,1,0.552511415525
219,TBL,ANA,2015-11-21,1,1,1,0.554545454545
220,WSH,COL,2015-11-21,1,1,1,0.556561085973
