,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,1,1,1.0
1,LAK,COL,2015-10-18,1,1,1,1.0
2,NYR,NJD,2015-10-18,0,0,1,1.0
3,VAN,EDM,2015-10-18,0,0,1,1.0
4,WPG,STL,2015-10-18,0,1,0,0.8
5,NYR,SJS,2015-10-19,1,1,1,0.833333333333
6,PIT,FLA,2015-10-20,1,1,1,0.857142857143
7,PHI,DAL,2015-10-20,0,0,1,0.875
8,NJD,ARI,2015-10-20,1,1,1,0.888888888889
9,NSH,TBL,2015-10-20,1,1,1,0.9
10,CGY,WSH,2015-10-20,0,0,1,0.909090909091
11,CBJ,NYI,2015-10-20,0,0,1,0.916666666667
12,MTL,STL,2015-10-20,1,1,1,0.923076923077
13,BOS,PHI,2015-10-21,0,1,0,0.857142857143
14,BUF,TOR,2015-10-21,1,1,1,0.866666666667
15,COL,CAR,2015-10-21,0,0,1,0.875
16,EDM,DET,2015-10-21,1,1,1,0.882352941176
17,PIT,DAL,2015-10-22,0,0,1,0.888888888889
18,VAN,WSH,2015-10-22,0,0,1,0.894736842105
19,SJS,LAK,2015-10-22,0,0,1,0.9
20,OTT,NJD,2015-10-22,0,0,1,0.904761904762
21,MIN,CBJ,2015-10-22,1,0,0,0.863636363636
22,NSH,ANA,2015-10-22,1,1,1,0.869565217391
23,CHI,FLA,2015-10-22,1,1,1,0.875
24,NYR,ARI,2015-10-22,1,1,1,0.88
25,BUF,MTL,2015-10-23,0,0,1,0.884615384615
26,CGY,DET,2015-10-23,1,1,1,0.888888888889
27,EDM,WSH,2015-10-23,0,0,1,0.892857142857
28,LAK,CAR,2015-10-23,1,1,1,0.896551724138
29,NYI,BOS,2015-10-23,0,0,1,0.9
30,WPG,TBL,2015-10-23,0,0,1,0.903225806452
31,OTT,ARI,2015-10-24,0,1,0,0.875
32,VAN,DET,2015-10-24,0,0,1,0.878787878788
33,STL,NYI,2015-10-24,0,0,1,0.882352941176
34,SJS,CAR,2015-10-24,1,1,1,0.885714285714
35,PHI,NYR,2015-10-24,1,1,1,0.888888888889
36,NSH,PIT,2015-10-24,0,1,0,0.864864864865
37,MTL,TOR,2015-10-24,1,1,1,0.868421052632
38,MIN,ANA,2015-10-24,1,1,1,0.871794871795
39,DAL,FLA,2015-10-24,0,0,1,0.875
40,COL,CBJ,2015-10-24,0,0,1,0.878048780488
41,CHI,TBL,2015-10-24,1,1,1,0.880952380952
42,BUF,NJD,2015-10-24,0,1,0,0.860465116279
43,EDM,LAK,2015-10-25,0,0,1,0.863636363636
44,NYR,CGY,2015-10-25,1,1,1,0.866666666667
45,WPG,MIN,2015-10-25,1,1,1,0.869565217391
