,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,1,1,1.0
1,LAK,COL,2015-10-18,1,1,1,1.0
2,NYR,NJD,2015-10-18,0,0,1,1.0
3,VAN,EDM,2015-10-18,0,0,1,1.0
4,WPG,STL,2015-10-18,0,0,1,1.0
5,NYR,SJS,2015-10-19,1,1,1,1.0
6,PIT,FLA,2015-10-20,1,1,1,1.0
7,PHI,DAL,2015-10-20,0,0,1,1.0
8,NJD,ARI,2015-10-20,1,1,1,1.0
9,NSH,TBL,2015-10-20,1,1,1,1.0
10,CGY,WSH,2015-10-20,0,0,1,1.0
11,CBJ,NYI,2015-10-20,0,0,1,1.0
12,MTL,STL,2015-10-20,1,1,1,1.0
13,BOS,PHI,2015-10-21,0,0,1,1.0
14,BUF,TOR,2015-10-21,1,1,1,1.0
15,COL,CAR,2015-10-21,0,0,1,1.0
16,EDM,DET,2015-10-21,1,1,1,1.0
17,PIT,DAL,2015-10-22,0,0,1,1.0
18,VAN,WSH,2015-10-22,0,0,1,1.0
19,SJS,LAK,2015-10-22,0,0,1,1.0
20,OTT,NJD,2015-10-22,0,0,1,1.0
21,MIN,CBJ,2015-10-22,1,1,1,1.0
22,NSH,ANA,2015-10-22,1,1,1,1.0
23,CHI,FLA,2015-10-22,1,1,1,1.0
24,NYR,ARI,2015-10-22,1,1,1,1.0
25,BUF,MTL,2015-10-23,0,0,1,1.0
26,CGY,DET,2015-10-23,1,1,1,1.0
27,EDM,WSH,2015-10-23,0,0,1,1.0
28,LAK,CAR,2015-10-23,1,1,1,1.0
29,NYI,BOS,2015-10-23,0,0,1,1.0
30,WPG,TBL,2015-10-23,0,1,0,0.967741935484
31,OTT,ARI,2015-10-24,0,0,1,0.96875
32,VAN,DET,2015-10-24,0,0,1,0.969696969697
33,STL,NYI,2015-10-24,0,0,1,0.970588235294
34,SJS,CAR,2015-10-24,1,1,1,0.971428571429
35,PHI,NYR,2015-10-24,1,1,1,0.972222222222
36,NSH,PIT,2015-10-24,0,0,1,0.972972972973
37,MTL,TOR,2015-10-24,1,1,1,0.973684210526
38,MIN,ANA,2015-10-24,1,1,1,0.974358974359
39,DAL,FLA,2015-10-24,0,1,0,0.95
40,COL,CBJ,2015-10-24,0,0,1,0.951219512195
41,CHI,TBL,2015-10-24,1,1,1,0.952380952381
42,BUF,NJD,2015-10-24,0,0,1,0.953488372093
43,EDM,LAK,2015-10-25,0,0,1,0.954545454545
44,NYR,CGY,2015-10-25,1,1,1,0.955555555556
45,WPG,MIN,2015-10-25,1,1,1,0.95652173913
46,CHI,ANA,2015-10-26,1,1,1,0.957446808511
47,NYI,CGY,2015-10-26,1,1,1,0.958333333333
