,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,ANA,MIN,2015-10-18,1,0,0,0.0
1,LAK,COL,2015-10-18,1,0,0,0.0
2,NYR,NJD,2015-10-18,0,0,1,0.333333333333
3,VAN,EDM,2015-10-18,0,0,1,0.5
4,WPG,STL,2015-10-18,0,0,1,0.6
5,NYR,SJS,2015-10-19,1,0,0,0.5
6,PIT,FLA,2015-10-20,1,1,1,0.571428571429
7,PHI,DAL,2015-10-20,0,0,1,0.625
8,NJD,ARI,2015-10-20,1,1,1,0.666666666667
9,NSH,TBL,2015-10-20,1,1,1,0.7
10,CGY,WSH,2015-10-20,0,0,1,0.727272727273
11,CBJ,NYI,2015-10-20,0,1,0,0.666666666667
12,MTL,STL,2015-10-20,1,0,0,0.615384615385
13,BOS,PHI,2015-10-21,0,1,0,0.571428571429
14,BUF,TOR,2015-10-21,1,1,1,0.6
15,COL,CAR,2015-10-21,0,0,1,0.625
16,EDM,DET,2015-10-21,1,1,1,0.647058823529
17,PIT,DAL,2015-10-22,0,0,1,0.666666666667
18,VAN,WSH,2015-10-22,0,1,0,0.631578947368
19,SJS,LAK,2015-10-22,0,0,1,0.65
20,OTT,NJD,2015-10-22,0,0,1,0.666666666667
21,MIN,CBJ,2015-10-22,1,0,0,0.636363636364
22,NSH,ANA,2015-10-22,1,1,1,0.652173913043
23,CHI,FLA,2015-10-22,1,1,1,0.666666666667
24,NYR,ARI,2015-10-22,1,1,1,0.68
25,BUF,MTL,2015-10-23,0,0,1,0.692307692308
26,CGY,DET,2015-10-23,1,1,1,0.703703703704
27,EDM,WSH,2015-10-23,0,0,1,0.714285714286
28,LAK,CAR,2015-10-23,1,1,1,0.724137931034
29,NYI,BOS,2015-10-23,0,1,0,0.7
30,WPG,TBL,2015-10-23,0,1,0,0.677419354839
31,OTT,ARI,2015-10-24,0,0,1,0.6875
32,VAN,DET,2015-10-24,0,1,0,0.666666666667
33,STL,NYI,2015-10-24,0,1,0,0.647058823529
34,SJS,CAR,2015-10-24,1,1,1,0.657142857143
35,PHI,NYR,2015-10-24,1,1,1,0.666666666667
36,NSH,PIT,2015-10-24,0,0,1,0.675675675676
37,MTL,TOR,2015-10-24,1,1,1,0.684210526316
38,MIN,ANA,2015-10-24,1,0,0,0.666666666667
39,DAL,FLA,2015-10-24,0,1,0,0.65
40,COL,CBJ,2015-10-24,0,0,1,0.658536585366
