,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,EDM,BUF,2016-10-16,0,1,0,0.0
1,NYI,ANA,2016-10-16,1,0,0,0.0
2,VAN,CAR,2016-10-16,1,1,1,0.333333333333
3,DET,OTT,2016-10-17,1,0,0,0.25
4,NYR,SJS,2016-10-17,1,1,1,0.4
5,PIT,COL,2016-10-17,0,1,0,0.333333333333
6,WPG,BOS,2016-10-17,0,0,1,0.428571428571
7,WSH,COL,2016-10-18,1,1,1,0.5
8,VAN,STL,2016-10-18,1,1,1,0.555555555556
9,TBL,FLA,2016-10-18,1,1,1,0.6
10,OTT,ARI,2016-10-18,1,0,0,0.545454545455
11,NYI,SJS,2016-10-18,0,1,0,0.5
12,NSH,DAL,2016-10-18,0,1,0,0.461538461538
13,NJD,ANA,2016-10-18,1,1,1,0.5
14,MTL,PIT,2016-10-18,1,0,0,0.466666666667
15,MIN,LAK,2016-10-18,1,1,1,0.5
16,EDM,CAR,2016-10-18,1,1,1,0.529411764706
17,CHI,PHI,2016-10-18,1,0,0,0.5
18,CGY,BUF,2016-10-18,1,1,1,0.526315789474
19,NYR,DET,2016-10-19,0,1,0,0.5
20,WPG,TOR,2016-10-19,1,1,1,0.52380952381
21,VAN,BUF,2016-10-20,1,1,1,0.545454545455
22,TBL,COL,2016-10-20,0,1,0,0.521739130435
23,PIT,SJS,2016-10-20,1,1,1,0.541666666667
24,PHI,ANA,2016-10-20,0,1,0,0.52
25,MTL,ARI,2016-10-20,1,0,0,0.5
26,EDM,STL,2016-10-20,1,1,1,0.518518518519
27,FLA,WSH,2016-10-20,0,1,0,0.5
28,DAL,LAK,2016-10-20,0,1,0,0.48275862069
29,CGY,CAR,2016-10-20,0,1,0,0.466666666667
30,BOS,NJD,2016-10-20,1,1,1,0.483870967742
31,MIN,TOR,2016-10-20,1,0,0,0.46875
32,CBJ,CHI,2016-10-21,1,1,1,0.484848484848
33,DET,NSH,2016-10-21,1,1,1,0.5
34,NYI,ARI,2016-10-21,1,0,0,0.485714285714
35,WSH,NYR,2016-10-22,0,1,0,0.472222222222
36,PHI,CAR,2016-10-22,1,1,1,0.486486486486
37,OTT,TBL,2016-10-22,0,1,0,0.473684210526
38,NSH,PIT,2016-10-22,1,1,1,0.487179487179
39,NJD,MIN,2016-10-22,1,1,1,0.5
40,LAK,VAN,2016-10-22,1,1,1,0.512195121951
41,CHI,TOR,2016-10-22,1,1,1,0.52380952381
42,DET,SJS,2016-10-22,1,1,1,0.53488372093
43,DAL,CBJ,2016-10-22,0,1,0,0.522727272727
44,CGY,STL,2016-10-22,0,1,0,0.511111111111
45,BOS,MTL,2016-10-22,0,1,0,0.5
46,FLA,COL,2016-10-22,1,1,1,0.510638297872
47,WPG,EDM,2016-10-23,0,1,0,0.5
48,NYR,ARI,2016-10-23,1,1,1,0.510204081633
49,ANA,VAN,2016-10-23,1,1,1,0.52
50,NYI,MIN,2016-10-23,1,1,1,0.529411764706
