,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,EDM,BUF,2016-10-16,0,0,1,1.0
1,NYI,ANA,2016-10-16,1,0,0,0.5
2,VAN,CAR,2016-10-16,1,1,1,0.666666666667
3,DET,OTT,2016-10-17,1,0,0,0.5
4,NYR,SJS,2016-10-17,1,1,1,0.6
5,PIT,COL,2016-10-17,0,1,0,0.5
6,WPG,BOS,2016-10-17,0,0,1,0.571428571429
7,WSH,COL,2016-10-18,1,1,1,0.625
8,VAN,STL,2016-10-18,1,1,1,0.666666666667
9,TBL,FLA,2016-10-18,1,1,1,0.7
10,OTT,ARI,2016-10-18,1,0,0,0.636363636364
11,NYI,SJS,2016-10-18,0,1,0,0.583333333333
12,NSH,DAL,2016-10-18,0,1,0,0.538461538462
13,NJD,ANA,2016-10-18,1,1,1,0.571428571429
14,MTL,PIT,2016-10-18,1,0,0,0.533333333333
15,MIN,LAK,2016-10-18,1,1,1,0.5625
16,EDM,CAR,2016-10-18,1,1,1,0.588235294118
17,CHI,PHI,2016-10-18,1,0,0,0.555555555556
18,CGY,BUF,2016-10-18,1,0,0,0.526315789474
19,NYR,DET,2016-10-19,0,1,0,0.5
20,WPG,TOR,2016-10-19,1,1,1,0.52380952381
21,VAN,BUF,2016-10-20,1,1,1,0.545454545455
22,TBL,COL,2016-10-20,0,1,0,0.521739130435
23,PIT,SJS,2016-10-20,1,1,1,0.541666666667
24,PHI,ANA,2016-10-20,0,1,0,0.52
25,MTL,ARI,2016-10-20,1,0,0,0.5
26,EDM,STL,2016-10-20,1,1,1,0.518518518519
27,FLA,WSH,2016-10-20,0,1,0,0.5
28,DAL,LAK,2016-10-20,0,1,0,0.48275862069
29,CGY,CAR,2016-10-20,0,1,0,0.466666666667
30,BOS,NJD,2016-10-20,1,1,1,0.483870967742
31,MIN,TOR,2016-10-20,1,0,0,0.46875
32,CBJ,CHI,2016-10-21,1,1,1,0.484848484848
33,DET,NSH,2016-10-21,1,1,1,0.5
34,NYI,ARI,2016-10-21,1,0,0,0.485714285714
35,WSH,NYR,2016-10-22,0,1,0,0.472222222222
36,PHI,CAR,2016-10-22,1,1,1,0.486486486486
37,OTT,TBL,2016-10-22,0,0,1,0.5
38,NSH,PIT,2016-10-22,1,1,1,0.512820512821
39,NJD,MIN,2016-10-22,1,1,1,0.525
40,LAK,VAN,2016-10-22,1,0,0,0.512195121951
41,CHI,TOR,2016-10-22,1,1,1,0.52380952381
42,DET,SJS,2016-10-22,1,1,1,0.53488372093
43,DAL,CBJ,2016-10-22,0,1,0,0.522727272727
44,CGY,STL,2016-10-22,0,1,0,0.511111111111
45,BOS,MTL,2016-10-22,0,0,1,0.521739130435
46,FLA,COL,2016-10-22,1,1,1,0.531914893617
47,WPG,EDM,2016-10-23,0,1,0,0.520833333333
48,NYR,ARI,2016-10-23,1,1,1,0.530612244898
49,ANA,VAN,2016-10-23,1,1,1,0.54
50,NYI,MIN,2016-10-23,1,1,1,0.549019607843
51,CHI,CGY,2016-10-24,0,0,1,0.557692307692
52,MTL,PHI,2016-10-24,1,1,1,0.566037735849
53,VAN,OTT,2016-10-25,0,0,1,0.574074074074
54,TOR,TBL,2016-10-25,0,1,0,0.563636363636
55,SJS,ANA,2016-10-25,1,1,1,0.571428571429
56,PIT,FLA,2016-10-25,1,0,0,0.561403508772
57,PHI,BUF,2016-10-25,1,0,0,0.551724137931
58,STL,CGY,2016-10-25,0,1,0,0.542372881356
59,LAK,CBJ,2016-10-25,1,1,1,0.55
60,DET,CAR,2016-10-25,1,1,1,0.55737704918
61,DAL,WPG,2016-10-25,1,1,1,0.564516129032
62,BOS,MIN,2016-10-25,0,1,0,0.555555555556
63,NJD,ARI,2016-10-25,1,1,1,0.5625
64,ANA,NSH,2016-10-26,1,1,1,0.569230769231
65,EDM,WSH,2016-10-26,1,1,1,0.575757575758
66,NYI,MTL,2016-10-26,0,0,1,0.582089552239
67,NYR,BOS,2016-10-26,1,1,1,0.588235294118
68,SJS,CBJ,2016-10-27,1,1,1,0.594202898551
69,WPG,DAL,2016-10-27,1,1,1,0.6
70,TOR,FLA,2016-10-27,1,1,1,0.605633802817
71,STL,DET,2016-10-27,0,1,0,0.597222222222
72,PIT,NYI,2016-10-27,1,1,1,0.602739726027
73,PHI,ARI,2016-10-27,0,0,1,0.608108108108
74,MTL,TBL,2016-10-27,1,0,0,0.6
75,LAK,NSH,2016-10-27,1,1,1,0.605263157895
76,BUF,MIN,2016-10-27,0,0,1,0.61038961039
77,ANA,CBJ,2016-10-28,0,1,0,0.602564102564
78,CAR,NYR,2016-10-28,1,1,1,0.607594936709
79,CGY,OTT,2016-10-28,1,1,1,0.6125
80,COL,WPG,2016-10-28,0,0,1,0.617283950617
81,NJD,CHI,2016-10-28,0,1,0,0.609756097561
82,VAN,EDM,2016-10-28,0,1,0,0.602409638554
83,SJS,NSH,2016-10-29,1,1,1,0.607142857143
84,PHI,PIT,2016-10-29,0,0,1,0.611764705882
85,NJD,TBL,2016-10-29,1,0,0,0.604651162791
86,MTL,TOR,2016-10-29,1,0,0,0.597701149425
87,ARI,COL,2016-10-29,0,0,1,0.602272727273
88,DET,BOS,2016-10-29,0,1,0,0.595505617978
89,BUF,FLA,2016-10-29,1,0,0,0.588888888889
90,STL,LAK,2016-10-29,1,1,1,0.593406593407
91,MIN,DAL,2016-10-29,1,1,1,0.597826086957
92,VAN,WSH,2016-10-29,0,0,1,0.602150537634
93,NYI,TOR,2016-10-30,1,0,0,0.595744680851
94,WPG,BUF,2016-10-30,0,1,0,0.589473684211
95,EDM,OTT,2016-10-30,0,1,0,0.583333333333
96,NYR,TBL,2016-10-30,1,1,1,0.587628865979
97,CHI,LAK,2016-10-30,1,1,1,0.591836734694
98,CAR,PHI,2016-10-30,0,0,1,0.59595959596
99,DET,FLA,2016-10-30,0,1,0,0.59
100,CGY,WSH,2016-10-30,0,1,0,0.584158415842
101,WPG,WSH,2016-11-01,0,0,1,0.588235294118
102,TOR,EDM,2016-11-01,1,1,1,0.592233009709
103,NYI,TBL,2016-11-01,0,0,1,0.596153846154
104,MIN,BUF,2016-11-01,0,0,1,0.6
105,LAK,ANA,2016-11-01,0,1,0,0.594339622642
106,OTT,CAR,2016-11-01,1,1,1,0.598130841121
107,COL,NSH,2016-11-01,0,1,0,0.592592592593
108,CHI,CGY,2016-11-01,1,1,1,0.596330275229
109,CBJ,DAL,2016-11-01,1,1,1,0.6
110,ARI,SJS,2016-11-01,1,1,1,0.603603603604
111,FLA,BOS,2016-11-01,0,1,0,0.598214285714
112,NYR,STL,2016-11-01,1,1,1,0.601769911504
113,ANA,PIT,2016-11-02,0,0,1,0.605263157895
114,MTL,VAN,2016-11-02,1,1,1,0.608695652174
115,PHI,DET,2016-11-02,1,1,1,0.612068965517
116,NYI,PHI,2016-11-03,0,0,1,0.615384615385
117,WSH,WPG,2016-11-03,1,1,1,0.618644067797
118,TBL,BOS,2016-11-03,0,1,0,0.613445378151
