,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,EDM,BUF,2016-10-16,0,1,0,0.0
1,NYI,ANA,2016-10-16,1,0,0,0.0
2,VAN,CAR,2016-10-16,1,0,0,0.0
3,DET,OTT,2016-10-17,1,0,0,0.0
4,NYR,SJS,2016-10-17,1,1,1,0.2
5,PIT,COL,2016-10-17,0,1,0,0.166666666667
6,WPG,BOS,2016-10-17,0,1,0,0.142857142857
7,WSH,COL,2016-10-18,1,0,0,0.125
8,VAN,STL,2016-10-18,1,1,1,0.222222222222
9,TBL,FLA,2016-10-18,1,1,1,0.3
10,OTT,ARI,2016-10-18,1,0,0,0.272727272727
11,NYI,SJS,2016-10-18,0,1,0,0.25
12,NSH,DAL,2016-10-18,0,0,1,0.307692307692
13,NJD,ANA,2016-10-18,1,1,1,0.357142857143
14,MTL,PIT,2016-10-18,1,1,1,0.4
15,MIN,LAK,2016-10-18,1,1,1,0.4375
16,EDM,CAR,2016-10-18,1,1,1,0.470588235294
17,CHI,PHI,2016-10-18,1,0,0,0.444444444444
18,CGY,BUF,2016-10-18,1,1,1,0.473684210526
19,NYR,DET,2016-10-19,0,1,0,0.45
20,WPG,TOR,2016-10-19,1,0,0,0.428571428571
21,VAN,BUF,2016-10-20,1,0,0,0.409090909091
22,TBL,COL,2016-10-20,0,1,0,0.391304347826
23,PIT,SJS,2016-10-20,1,1,1,0.416666666667
24,PHI,ANA,2016-10-20,0,1,0,0.4
25,MTL,ARI,2016-10-20,1,1,1,0.423076923077
26,FLA,WSH,2016-10-20,0,1,0,0.407407407407
27,EDM,STL,2016-10-20,1,1,1,0.428571428571
28,DAL,LAK,2016-10-20,0,1,0,0.413793103448
29,CGY,CAR,2016-10-20,0,1,0,0.4
30,BOS,NJD,2016-10-20,1,1,1,0.41935483871
31,MIN,TOR,2016-10-20,1,1,1,0.4375
32,CBJ,CHI,2016-10-21,1,0,0,0.424242424242
33,DET,NSH,2016-10-21,1,1,1,0.441176470588
34,NYI,ARI,2016-10-21,1,0,0,0.428571428571
35,DAL,CBJ,2016-10-22,0,1,0,0.416666666667
36,PHI,CAR,2016-10-22,1,0,0,0.405405405405
37,OTT,TBL,2016-10-22,0,0,1,0.421052631579
38,NSH,PIT,2016-10-22,1,0,0,0.410256410256
39,NJD,MIN,2016-10-22,1,0,0,0.4
40,LAK,VAN,2016-10-22,1,0,0,0.390243902439
41,CHI,TOR,2016-10-22,1,1,1,0.404761904762
42,DET,SJS,2016-10-22,1,1,1,0.418604651163
43,WSH,NYR,2016-10-22,0,1,0,0.409090909091
44,CGY,STL,2016-10-22,0,0,1,0.422222222222
45,BOS,MTL,2016-10-22,0,0,1,0.434782608696
46,FLA,COL,2016-10-22,1,1,1,0.446808510638
47,NYI,MIN,2016-10-23,1,1,1,0.458333333333
48,NYR,ARI,2016-10-23,1,1,1,0.469387755102
49,ANA,VAN,2016-10-23,1,0,0,0.46
50,WPG,EDM,2016-10-23,0,1,0,0.450980392157
