,home_team,away_team,date,home_team_win,prediction,match,cumulative_average
0,EDM,BUF,2016-10-16,0,0,1,1.0
1,NYI,ANA,2016-10-16,1,0,0,0.5
2,VAN,CAR,2016-10-16,1,1,1,0.666666666667
3,DET,OTT,2016-10-17,1,0,0,0.5
4,NYR,SJS,2016-10-17,1,1,1,0.6
5,PIT,COL,2016-10-17,0,1,0,0.5
6,WPG,BOS,2016-10-17,0,0,1,0.571428571429
7,WSH,COL,2016-10-18,1,1,1,0.625
8,VAN,STL,2016-10-18,1,1,1,0.666666666667
9,TBL,FLA,2016-10-18,1,0,0,0.6
10,OTT,ARI,2016-10-18,1,0,0,0.545454545455
11,NYI,SJS,2016-10-18,0,1,0,0.5
12,NSH,DAL,2016-10-18,0,1,0,0.461538461538
13,NJD,ANA,2016-10-18,1,1,1,0.5
14,MTL,PIT,2016-10-18,1,0,0,0.466666666667
15,MIN,LAK,2016-10-18,1,1,1,0.5
16,EDM,CAR,2016-10-18,1,1,1,0.529411764706
17,CHI,PHI,2016-10-18,1,0,0,0.5
18,CGY,BUF,2016-10-18,1,1,1,0.526315789474
19,NYR,DET,2016-10-19,0,1,0,0.5
20,WPG,TOR,2016-10-19,1,1,1,0.52380952381
21,VAN,BUF,2016-10-20,1,1,1,0.545454545455
22,TBL,COL,2016-10-20,0,1,0,0.521739130435
23,PIT,SJS,2016-10-20,1,1,1,0.541666666667
24,PHI,ANA,2016-10-20,0,1,0,0.52
25,MTL,ARI,2016-10-20,1,0,0,0.5
26,EDM,STL,2016-10-20,1,1,1,0.518518518519
27,FLA,WSH,2016-10-20,0,1,0,0.5
28,DAL,LAK,2016-10-20,0,1,0,0.48275862069
29,CGY,CAR,2016-10-20,0,1,0,0.466666666667
30,BOS,NJD,2016-10-20,1,1,1,0.483870967742
31,MIN,TOR,2016-10-20,1,0,0,0.46875
32,CBJ,CHI,2016-10-21,1,1,1,0.484848484848
33,DET,NSH,2016-10-21,1,1,1,0.5
34,NYI,ARI,2016-10-21,1,0,0,0.485714285714
35,WSH,NYR,2016-10-22,0,1,0,0.472222222222
36,PHI,CAR,2016-10-22,1,1,1,0.486486486486
37,OTT,TBL,2016-10-22,0,1,0,0.473684210526
38,NSH,PIT,2016-10-22,1,1,1,0.487179487179
39,NJD,MIN,2016-10-22,1,1,1,0.5
40,LAK,VAN,2016-10-22,1,0,0,0.487804878049
41,CHI,TOR,2016-10-22,1,1,1,0.5
42,DET,SJS,2016-10-22,1,1,1,0.511627906977
43,DAL,CBJ,2016-10-22,0,1,0,0.5
44,CGY,STL,2016-10-22,0,1,0,0.488888888889
45,BOS,MTL,2016-10-22,0,0,1,0.5
46,FLA,COL,2016-10-22,1,1,1,0.510638297872
47,WPG,EDM,2016-10-23,0,1,0,0.5
48,NYR,ARI,2016-10-23,1,1,1,0.510204081633
49,ANA,VAN,2016-10-23,1,1,1,0.52
50,NYI,MIN,2016-10-23,1,1,1,0.529411764706
51,CHI,CGY,2016-10-24,0,0,1,0.538461538462
52,MTL,PHI,2016-10-24,1,1,1,0.547169811321
53,VAN,OTT,2016-10-25,0,0,1,0.555555555556
54,TOR,TBL,2016-10-25,0,1,0,0.545454545455
55,SJS,ANA,2016-10-25,1,1,1,0.553571428571
56,PIT,FLA,2016-10-25,1,0,0,0.543859649123
57,PHI,BUF,2016-10-25,1,1,1,0.551724137931
58,STL,CGY,2016-10-25,0,1,0,0.542372881356
59,LAK,CBJ,2016-10-25,1,1,1,0.55
60,DET,CAR,2016-10-25,1,1,1,0.55737704918
61,DAL,WPG,2016-10-25,1,0,0,0.548387096774
62,BOS,MIN,2016-10-25,0,1,0,0.539682539683
63,NJD,ARI,2016-10-25,1,1,1,0.546875
64,ANA,NSH,2016-10-26,1,1,1,0.553846153846
65,EDM,WSH,2016-10-26,1,1,1,0.560606060606
66,NYI,MTL,2016-10-26,0,0,1,0.567164179104
67,NYR,BOS,2016-10-26,1,1,1,0.573529411765
68,SJS,CBJ,2016-10-27,1,1,1,0.579710144928
69,WPG,DAL,2016-10-27,1,1,1,0.585714285714
70,TOR,FLA,2016-10-27,1,1,1,0.591549295775
71,STL,DET,2016-10-27,0,1,0,0.583333333333
72,PIT,NYI,2016-10-27,1,1,1,0.58904109589
73,PHI,ARI,2016-10-27,0,1,0,0.581081081081
74,MTL,TBL,2016-10-27,1,0,0,0.573333333333
75,LAK,NSH,2016-10-27,1,1,1,0.578947368421
76,BUF,MIN,2016-10-27,0,0,1,0.584415584416
77,ANA,CBJ,2016-10-28,0,1,0,0.576923076923
78,CAR,NYR,2016-10-28,1,1,1,0.582278481013
79,CGY,OTT,2016-10-28,1,1,1,0.5875
80,COL,WPG,2016-10-28,0,0,1,0.592592592593
81,NJD,CHI,2016-10-28,0,1,0,0.585365853659
82,VAN,EDM,2016-10-28,0,0,1,0.590361445783
83,SJS,NSH,2016-10-29,1,1,1,0.595238095238
84,PHI,PIT,2016-10-29,0,1,0,0.588235294118
85,NJD,TBL,2016-10-29,1,0,0,0.581395348837
86,MTL,TOR,2016-10-29,1,0,0,0.574712643678
87,ARI,COL,2016-10-29,0,1,0,0.568181818182
88,DET,BOS,2016-10-29,0,1,0,0.561797752809
89,BUF,FLA,2016-10-29,1,0,0,0.555555555556
90,STL,LAK,2016-10-29,1,1,1,0.56043956044
91,MIN,DAL,2016-10-29,1,1,1,0.565217391304
92,VAN,WSH,2016-10-29,0,0,1,0.569892473118
93,NYI,TOR,2016-10-30,1,0,0,0.563829787234
94,NYR,TBL,2016-10-30,1,1,1,0.568421052632
95,EDM,OTT,2016-10-30,0,1,0,0.5625
96,WPG,BUF,2016-10-30,0,0,1,0.567010309278
97,CHI,LAK,2016-10-30,1,1,1,0.571428571429
98,CAR,PHI,2016-10-30,0,0,1,0.575757575758
99,DET,FLA,2016-10-30,0,0,1,0.58
100,CGY,WSH,2016-10-30,0,0,1,0.584158415842
101,OTT,CAR,2016-11-01,1,1,1,0.588235294118
102,WPG,WSH,2016-11-01,0,0,1,0.592233009709
103,TOR,EDM,2016-11-01,1,1,1,0.596153846154
104,NYI,TBL,2016-11-01,0,0,1,0.6
105,MIN,BUF,2016-11-01,0,0,1,0.603773584906
106,NYR,STL,2016-11-01,1,1,1,0.607476635514
107,FLA,BOS,2016-11-01,0,1,0,0.601851851852
108,COL,NSH,2016-11-01,0,1,0,0.596330275229
109,CHI,CGY,2016-11-01,1,1,1,0.6
110,CBJ,DAL,2016-11-01,1,1,1,0.603603603604
111,ARI,SJS,2016-11-01,1,1,1,0.607142857143
112,LAK,ANA,2016-11-01,0,1,0,0.601769911504
113,ANA,PIT,2016-11-02,0,1,0,0.59649122807
114,MTL,VAN,2016-11-02,1,1,1,0.6
115,PHI,DET,2016-11-02,1,1,1,0.603448275862
116,NYI,PHI,2016-11-03,0,0,1,0.606837606838
117,TBL,BOS,2016-11-03,0,1,0,0.601694915254
118,SJS,CGY,2016-11-03,0,1,0,0.596638655462
119,OTT,VAN,2016-11-03,1,1,1,0.6
